"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-c9b5z Memory Usage","edge-server-cv-78d887c496-pgbtd Memory Usage"
2022-04-19 14:34:30,2560806912,1280403456,1358032896,1202774016
2022-04-19 14:34:45,2245255168,1122627584,1059483648,1185771520
2022-04-19 14:35:00,2245255168,1122627584,1059483648,1185771520
2022-04-19 14:35:15,2181607424,1090803712,920363008,1261244416
2022-04-19 14:35:30,2181607424,1090803712,920363008,1261244416
2022-04-19 14:35:45,2638168064,1319084032,1352454144,1285713920
2022-04-19 14:36:00,2638168064,1319084032,1352454144,1285713920
2022-04-19 14:36:15,1979940864,989970432,1344946176,634994688
2022-04-19 14:36:30,1979940864,989970432,1344946176,634994688
2022-04-19 14:36:45,3079667712,1539833856,1653141504,1426526208
2022-04-19 14:37:00,3079667712,1539833856,1653141504,1426526208
2022-04-19 14:37:15,2480406528,1240203264,1375256576,1105149952
2022-04-19 14:37:30,2480406528,1240203264,1375256576,1105149952
2022-04-19 14:37:45,2134155264,1067077632,1143603200,990552064
2022-04-19 14:38:00,2134155264,1067077632,1143603200,990552064
2022-04-19 14:38:15,2190741504,1095370752,1123930112,1066811392
2022-04-19 14:38:30,2190741504,1095370752,1123930112,1066811392
2022-04-19 14:38:45,2768261120,1384130560,1348763648,1419497472
2022-04-19 14:39:00,2768261120,1384130560,1348763648,1419497472
2022-04-19 14:39:15,2712887296,1356443648,1472602112,1240285184
2022-04-19 14:39:30,2712887296,1356443648,1472602112,1240285184
2022-04-19 14:39:45,2222694400,1111347200,972611584,1250082816
2022-04-19 14:40:00,2222694400,1111347200,972611584,1250082816
2022-04-19 14:40:15,2986586112,1493293056,1449992192,1536593920
2022-04-19 14:40:30,2986586112,1493293056,1449992192,1536593920
2022-04-19 14:40:45,1877864448,938932224,1130881024,746983424
2022-04-19 14:41:00,1877864448,938932224,1130881024,746983424
2022-04-19 14:41:15,2582511616,1291255808,1249243136,1333268480
2022-04-19 14:41:30,2582511616,1291255808,1249243136,1333268480
2022-04-19 14:41:45,2560106496,1280053248,1321615360,1238491136
2022-04-19 14:42:00,2560106496,1280053248,1321615360,1238491136
2022-04-19 14:42:15,2505101312,1252550656,1346457600,1158643712
2022-04-19 14:42:30,2505101312,1252550656,1346457600,1158643712
2022-04-19 14:42:45,2618552320,1309276160,1138470912,1480081408
2022-04-19 14:43:00,2618552320,1309276160,1138470912,1480081408
2022-04-19 14:43:15,2140102656,1070051328,943063040,1197039616
2022-04-19 14:43:30,2140102656,1070051328,943063040,1197039616
2022-04-19 14:43:45,2350452736,1175226368,1470742528,879710208
2022-04-19 14:44:00,2350452736,1175226368,1470742528,879710208
2022-04-19 14:44:15,2454913024,1227456512,985296896,1469616128
2022-04-19 14:44:30,2454913024,1227456512,985296896,1469616128
2022-04-19 14:44:45,2328788992,1164394496,1252524032,1076264960
2022-04-19 14:45:00,2328788992,1164394496,1252524032,1076264960
2022-04-19 14:45:15,2536554496,1268277248,1002176512,1534377984
2022-04-19 14:45:30,2536554496,1268277248,1002176512,1534377984
2022-04-19 14:45:45,2611277824,1305638912,1225744384,1385533440
2022-04-19 14:46:00,2611277824,1305638912,1225744384,1385533440
2022-04-19 14:46:15,2544287744,1272143872,1200558080,1343729664
2022-04-19 14:46:30,2544287744,1272143872,1200558080,1343729664
2022-04-19 14:46:45,2288254976,1144127488,1235976192,1052278784
2022-04-19 14:47:00,2288254976,1144127488,1235976192,1052278784
2022-04-19 14:47:15,2200494080,1100247040,1117814784,1082679296
2022-04-19 14:47:30,2200494080,1100247040,1117814784,1082679296
2022-04-19 14:47:45,2735337472,1367668736,1353711616,1381625856
2022-04-19 14:48:00,2735337472,1367668736,1353711616,1381625856
2022-04-19 14:48:15,1855819776,927909888,1117298688,738521088
2022-04-19 14:48:30,1855819776,927909888,1117298688,738521088
2022-04-19 14:48:45,2829557760,1414778880,1460330496,1369227264
2022-04-19 14:49:00,2829557760,1414778880,1460330496,1369227264
2022-04-19 14:49:15,2564419584,1282209792,1261486080,1302933504
2022-04-19 14:49:30,2564419584,1282209792,1261486080,1302933504
2022-04-19 14:49:45,2297098240,1148549120,1063395328,1233702912
2022-04-19 14:50:00,2297098240,1148549120,1063395328,1233702912
2022-04-19 14:50:15,2359304192,1179652096,1306836992,1052467200
2022-04-19 14:50:30,2359304192,1179652096,1306836992,1052467200
2022-04-19 14:50:45,2883567616,1441783808,1691865088,1191702528
2022-04-19 14:51:00,2883567616,1441783808,1691865088,1191702528
2022-04-19 14:51:15,2407374848,1203687424,1179086848,1228288000
2022-04-19 14:51:30,2407374848,1203687424,1179086848,1228288000
2022-04-19 14:51:45,2867621888,1433810944,1516269568,1351352320
2022-04-19 14:52:00,2867621888,1433810944,1516269568,1351352320
2022-04-19 14:52:15,3278319616,1639159808,1691914240,1586405376
2022-04-19 14:52:30,3278319616,1639159808,1691914240,1586405376
2022-04-19 14:52:45,2654453760,1327226880,1086111744,1568342016
2022-04-19 14:53:00,2654453760,1327226880,1086111744,1568342016
2022-04-19 14:53:15,2331529216,1165764608,1173831680,1157697536
2022-04-19 14:53:30,2331529216,1165764608,1173831680,1157697536
2022-04-19 14:53:45,2508058624,1254029312,1045311488,1462747136
2022-04-19 14:54:00,2508058624,1254029312,1045311488,1462747136
2022-04-19 14:54:15,2421407744,1210703872,1234034688,1187373056
2022-04-19 14:54:30,2421407744,1210703872,1234034688,1187373056
2022-04-19 14:54:45,1856368640,928184320,938094592,918274048
2022-04-19 14:55:00,1856368640,928184320,938094592,918274048
2022-04-19 14:55:15,2570080256,1285040128,1373138944,1196941312
2022-04-19 14:55:30,2570080256,1285040128,1373138944,1196941312
2022-04-19 14:55:45,2529206272,1264603136,880668672,1648537600
2022-04-19 14:56:00,2529206272,1264603136,880668672,1648537600
2022-04-19 14:56:15,1510322176,755161088,775663616,734658560
2022-04-19 14:56:30,1510322176,755161088,775663616,734658560
2022-04-19 14:56:45,2611056640,1305528320,1458274304,1152782336
2022-04-19 14:57:00,2611056640,1305528320,1458274304,1152782336
2022-04-19 14:57:15,2606923776,1303461888,1216147456,1390776320
2022-04-19 14:57:30,2606923776,1303461888,1216147456,1390776320
2022-04-19 14:57:45,2136621056,1068310528,897990656,1238630400
2022-04-19 14:58:00,2136621056,1068310528,897990656,1238630400
2022-04-19 14:58:15,2362454016,1181227008,1228967936,1133486080
2022-04-19 14:58:30,2362454016,1181227008,1228967936,1133486080
2022-04-19 14:58:45,2665746432,1332873216,1405267968,1260478464
2022-04-19 14:59:00,2665746432,1332873216,1405267968,1260478464
2022-04-19 14:59:15,2018852864,1009426432,1194876928,823975936
2022-04-19 14:59:30,2018852864,1009426432,1194876928,823975936
2022-04-19 14:59:45,2650574848,1325287424,1310597120,1339977728
2022-04-19 15:00:00,2650574848,1325287424,1310597120,1339977728
2022-04-19 15:00:15,2232094720,1116047360,1158246400,1073848320
2022-04-19 15:00:30,2232094720,1116047360,1158246400,1073848320
2022-04-19 15:00:45,2521014272,1260507136,980385792,1540628480
2022-04-19 15:01:00,2521014272,1260507136,980385792,1540628480
2022-04-19 15:01:15,2845241344,1422620672,1398501376,1446739968
2022-04-19 15:01:30,2845241344,1422620672,1398501376,1446739968
2022-04-19 15:01:45,2809483264,1404741632,1385160704,1424322560
2022-04-19 15:02:00,2809483264,1404741632,1385160704,1424322560
2022-04-19 15:02:15,1808261120,904130560,653295616,1154965504
2022-04-19 15:02:30,1808261120,904130560,653295616,1154965504
2022-04-19 15:02:45,2317660160,1158830080,1382785024,934875136
2022-04-19 15:03:00,2317660160,1158830080,1382785024,934875136
2022-04-19 15:03:15,2778157056,1389078528,1455247360,1322909696
2022-04-19 15:03:30,2778157056,1389078528,1455247360,1322909696

