"Time","Average Response Rate","edge-server-cv-78d887c496-c9b5z Response","edge-server-cv-78d887c496-pgbtd Response"
2022-04-19 14:49:00,447 ms,321 ms,574 ms
2022-04-19 14:49:02,433 ms,316 ms,550 ms
2022-04-19 14:49:04,418 ms,322 ms,515 ms
2022-04-19 14:49:06,554 ms,728 ms,380 ms
2022-04-19 14:49:08,625 ms,838 ms,413 ms
2022-04-19 14:49:10,659 ms,914 ms,405 ms
2022-04-19 14:49:12,558 ms,671 ms,445 ms
2022-04-19 14:49:14,527 ms,606 ms,449 ms
2022-04-19 14:49:16,410 ms,444 ms,376 ms
2022-04-19 14:49:18,444 ms,505 ms,382 ms
2022-04-19 14:49:20,619 ms,851 ms,387 ms
2022-04-19 14:49:22,669 ms,961 ms,377 ms
2022-04-19 14:49:24,750 ms,1.13 s,369 ms
2022-04-19 14:49:26,805 ms,1.26 s,352 ms
2022-04-19 14:49:28,723 ms,1.06 s,384 ms
2022-04-19 14:49:30,678 ms,858 ms,497 ms
2022-04-19 14:49:32,601 ms,714 ms,489 ms
2022-04-19 14:49:34,541 ms,589 ms,494 ms
2022-04-19 14:49:36,485 ms,463 ms,506 ms
2022-04-19 14:49:38,432 ms,454 ms,411 ms
2022-04-19 14:49:40,478 ms,579 ms,378 ms
2022-04-19 14:49:42,523 ms,620 ms,427 ms
2022-04-19 14:49:44,652 ms,512 ms,792 ms
2022-04-19 14:49:46,761 ms,521 ms,1.00 s
2022-04-19 14:49:48,869 ms,570 ms,1.17 s
2022-04-19 14:49:50,876 ms,447 ms,1.31 s
2022-04-19 14:49:52,826 ms,405 ms,1.25 s
2022-04-19 14:49:54,733 ms,440 ms,1.03 s
2022-04-19 14:49:56,609 ms,421 ms,797 ms
2022-04-19 14:49:58,513 ms,349 ms,678 ms
2022-04-19 14:50:00,445 ms,333 ms,556 ms
2022-04-19 14:50:02,367 ms,342 ms,393 ms
2022-04-19 14:50:04,333 ms,278 ms,389 ms
2022-04-19 14:50:06,335 ms,276 ms,394 ms
2022-04-19 14:50:08,351 ms,270 ms,432 ms
2022-04-19 14:50:10,324 ms,268 ms,380 ms
2022-04-19 14:50:12,514 ms,626 ms,403 ms
2022-04-19 14:50:14,569 ms,692 ms,446 ms
2022-04-19 14:50:16,610 ms,754 ms,466 ms
2022-04-19 14:50:18,600 ms,772 ms,428 ms
2022-04-19 14:50:20,618 ms,700 ms,536 ms
2022-04-19 14:50:22,515 ms,537 ms,493 ms
2022-04-19 14:50:24,510 ms,591 ms,428 ms
2022-04-19 14:50:26,483 ms,550 ms,417 ms
2022-04-19 14:50:28,394 ms,470 ms,317 ms
2022-04-19 14:50:30,388 ms,469 ms,308 ms
2022-04-19 14:50:32,419 ms,442 ms,397 ms
2022-04-19 14:50:34,447 ms,357 ms,537 ms
2022-04-19 14:50:36,466 ms,390 ms,542 ms
2022-04-19 14:50:38,461 ms,364 ms,558 ms
2022-04-19 14:50:40,459 ms,375 ms,543 ms
2022-04-19 14:50:42,360 ms,362 ms,359 ms
2022-04-19 14:50:44,306 ms,309 ms,303 ms
2022-04-19 14:50:46,351 ms,368 ms,335 ms
2022-04-19 14:50:48,361 ms,380 ms,342 ms
2022-04-19 14:50:50,375 ms,373 ms,377 ms
2022-04-19 14:50:52,402 ms,374 ms,429 ms
2022-04-19 14:50:54,372 ms,336 ms,407 ms
2022-04-19 14:50:56,339 ms,299 ms,379 ms
2022-04-19 14:50:58,327 ms,307 ms,348 ms
2022-04-19 14:51:00,347 ms,316 ms,378 ms
2022-04-19 14:51:02,390 ms,458 ms,322 ms
2022-04-19 14:51:04,476 ms,602 ms,350 ms
2022-04-19 14:51:06,540 ms,614 ms,466 ms
2022-04-19 14:51:08,549 ms,634 ms,464 ms
2022-04-19 14:51:10,523 ms,624 ms,422 ms
2022-04-19 14:51:12,431 ms,432 ms,430 ms
2022-04-19 14:51:14,366 ms,332 ms,401 ms
2022-04-19 14:51:16,310 ms,283 ms,336 ms
2022-04-19 14:51:18,347 ms,332 ms,362 ms
2022-04-19 14:51:20,400 ms,427 ms,372 ms
2022-04-19 14:51:22,455 ms,542 ms,368 ms
2022-04-19 14:51:24,479 ms,600 ms,358 ms
2022-04-19 14:51:26,517 ms,654 ms,380 ms
2022-04-19 14:51:28,821 ms,1.20 s,447 ms
2022-04-19 14:51:30,932 ms,1.40 s,463 ms
2022-04-19 14:51:32,793 ms,1.16 s,422 ms
2022-04-19 14:51:34,689 ms,1.01 s,373 ms
2022-04-19 14:51:36,653 ms,933 ms,373 ms
2022-04-19 14:51:38,569 ms,749 ms,389 ms
2022-04-19 14:51:40,469 ms,522 ms,415 ms
2022-04-19 14:51:42,477 ms,517 ms,437 ms
2022-04-19 14:51:44,514 ms,581 ms,447 ms
2022-04-19 14:51:46,627 ms,730 ms,525 ms
2022-04-19 14:51:48,641 ms,737 ms,545 ms
2022-04-19 14:51:50,699 ms,709 ms,690 ms
2022-04-19 14:51:52,787 ms,662 ms,912 ms
2022-04-19 14:51:54,705 ms,520 ms,891 ms
2022-04-19 14:51:56,624 ms,370 ms,879 ms
2022-04-19 14:51:58,564 ms,342 ms,786 ms
2022-04-19 14:52:00,504 ms,345 ms,664 ms
2022-04-19 14:52:02,304 ms,316 ms,293 ms
2022-04-19 14:52:04,316 ms,335 ms,298 ms
2022-04-19 14:52:06,436 ms,488 ms,384 ms
2022-04-19 14:52:08,599 ms,611 ms,587 ms
2022-04-19 14:52:10,632 ms,676 ms,588 ms
2022-04-19 14:52:12,666 ms,703 ms,630 ms
2022-04-19 14:52:14,627 ms,646 ms,609 ms
2022-04-19 14:52:16,515 ms,493 ms,538 ms
2022-04-19 14:52:18,482 ms,491 ms,472 ms
2022-04-19 14:52:20,406 ms,404 ms,408 ms
2022-04-19 14:52:22,412 ms,315 ms,509 ms
2022-04-19 14:52:24,398 ms,305 ms,490 ms
2022-04-19 14:52:26,399 ms,317 ms,481 ms
2022-04-19 14:52:28,392 ms,302 ms,481 ms
2022-04-19 14:52:30,330 ms,309 ms,352 ms
2022-04-19 14:52:32,458 ms,438 ms,478 ms
2022-04-19 14:52:34,539 ms,594 ms,485 ms
2022-04-19 14:52:36,527 ms,586 ms,469 ms
2022-04-19 14:52:38,539 ms,580 ms,499 ms
2022-04-19 14:52:40,519 ms,545 ms,493 ms
2022-04-19 14:52:42,392 ms,306 ms,479 ms
2022-04-19 14:52:44,407 ms,309 ms,504 ms
2022-04-19 14:52:46,450 ms,429 ms,470 ms
2022-04-19 14:52:48,487 ms,535 ms,438 ms
2022-04-19 14:52:50,452 ms,550 ms,354 ms
2022-04-19 14:52:52,477 ms,568 ms,386 ms
2022-04-19 14:52:54,471 ms,544 ms,398 ms
2022-04-19 14:52:56,433 ms,431 ms,435 ms
2022-04-19 14:52:58,661 ms,577 ms,744 ms
2022-04-19 14:53:00,737 ms,611 ms,862 ms
2022-04-19 14:53:02,898 ms,586 ms,1.21 s
2022-04-19 14:53:04,891 ms,581 ms,1.20 s
2022-04-19 14:53:06,723 ms,383 ms,1.06 s
2022-04-19 14:53:08,654 ms,311 ms,998 ms
2022-04-19 14:53:10,566 ms,382 ms,750 ms
2022-04-19 14:53:12,680 ms,589 ms,771 ms
2022-04-19 14:53:14,674 ms,655 ms,693 ms
2022-04-19 14:53:16,681 ms,697 ms,665 ms
2022-04-19 14:53:18,636 ms,692 ms,579 ms
2022-04-19 14:53:20,626 ms,842 ms,409 ms
2022-04-19 14:53:22,581 ms,821 ms,341 ms
2022-04-19 14:53:24,771 ms,1.23 s,316 ms
2022-04-19 14:53:26,957 ms,1.46 s,457 ms
2022-04-19 14:53:28,1.03 s,1.49 s,564 ms
2022-04-19 14:53:30,1.02 s,1.48 s,558 ms
2022-04-19 14:53:32,1.07 s,1.55 s,592 ms
2022-04-19 14:53:34,1.14 s,1.69 s,581 ms
2022-04-19 14:53:36,1.03 s,1.59 s,459 ms
2022-04-19 14:53:38,1.02 s,1.37 s,673 ms
2022-04-19 14:53:40,952 ms,1.20 s,706 ms
2022-04-19 14:53:42,1.04 s,930 ms,1.15 s
2022-04-19 14:53:44,912 ms,461 ms,1.36 s
2022-04-19 14:53:46,1.01 s,471 ms,1.54 s
2022-04-19 14:53:48,998 ms,502 ms,1.49 s
2022-04-19 14:53:50,979 ms,429 ms,1.53 s
2022-04-19 14:53:52,1.03 s,426 ms,1.64 s
2022-04-19 14:53:54,1.07 s,450 ms,1.68 s
2022-04-19 14:53:56,988 ms,358 ms,1.62 s
2022-04-19 14:53:58,968 ms,364 ms,1.57 s
2022-04-19 14:54:00,921 ms,366 ms,1.48 s
2022-04-19 14:54:02,890 ms,328 ms,1.45 s
2022-04-19 14:54:04,936 ms,374 ms,1.50 s
2022-04-19 14:54:06,914 ms,366 ms,1.46 s
2022-04-19 14:54:08,933 ms,372 ms,1.49 s
2022-04-19 14:54:10,997 ms,380 ms,1.61 s
2022-04-19 14:54:12,981 ms,350 ms,1.61 s
2022-04-19 14:54:14,981 ms,286 ms,1.67 s
2022-04-19 14:54:16,978 ms,274 ms,1.68 s
2022-04-19 14:54:18,1.03 s,274 ms,1.78 s
2022-04-19 14:54:20,885 ms,278 ms,1.49 s
2022-04-19 14:54:22,877 ms,261 ms,1.49 s
2022-04-19 14:54:24,834 ms,285 ms,1.38 s
2022-04-19 14:54:26,1.08 s,318 ms,1.83 s
2022-04-19 14:54:28,1.11 s,516 ms,1.71 s
2022-04-19 14:54:30,1.03 s,734 ms,1.33 s
2022-04-19 14:54:32,1.11 s,789 ms,1.44 s
2022-04-19 14:54:34,1.17 s,850 ms,1.49 s
2022-04-19 14:54:36,1.14 s,771 ms,1.50 s
2022-04-19 14:54:38,1.06 s,571 ms,1.55 s
2022-04-19 14:54:40,994 ms,507 ms,1.48 s
2022-04-19 14:54:42,901 ms,391 ms,1.41 s
2022-04-19 14:54:44,845 ms,304 ms,1.39 s
2022-04-19 14:54:46,824 ms,390 ms,1.26 s
2022-04-19 14:54:48,798 ms,385 ms,1.21 s
2022-04-19 14:54:50,822 ms,424 ms,1.22 s
2022-04-19 14:54:52,794 ms,454 ms,1.13 s
2022-04-19 14:54:54,866 ms,450 ms,1.28 s
2022-04-19 14:54:56,876 ms,400 ms,1.35 s
2022-04-19 14:54:58,851 ms,401 ms,1.30 s
2022-04-19 14:55:00,651 ms,335 ms,966 ms
2022-04-19 14:55:02,749 ms,455 ms,1.04 s
2022-04-19 14:55:04,774 ms,579 ms,970 ms
2022-04-19 14:55:06,762 ms,587 ms,937 ms
2022-04-19 14:55:08,886 ms,760 ms,1.01 s
2022-04-19 14:55:10,845 ms,730 ms,961 ms
2022-04-19 14:55:12,673 ms,475 ms,872 ms
2022-04-19 14:55:14,576 ms,447 ms,704 ms
2022-04-19 14:55:16,417 ms,412 ms,422 ms
2022-04-19 14:55:18,411 ms,353 ms,470 ms
2022-04-19 14:55:20,418 ms,343 ms,493 ms
2022-04-19 14:55:22,483 ms,352 ms,615 ms
2022-04-19 14:55:24,482 ms,342 ms,622 ms
2022-04-19 14:55:26,460 ms,367 ms,554 ms
2022-04-19 14:55:28,494 ms,353 ms,636 ms
2022-04-19 14:55:30,511 ms,405 ms,617 ms
2022-04-19 14:55:32,481 ms,420 ms,542 ms
2022-04-19 14:55:34,523 ms,530 ms,516 ms
2022-04-19 14:55:36,547 ms,682 ms,412 ms
2022-04-19 14:55:38,701 ms,1.08 s,322 ms
2022-04-19 14:55:40,816 ms,1.30 s,332 ms
2022-04-19 14:55:42,985 ms,1.59 s,378 ms
2022-04-19 14:55:44,1.07 s,1.73 s,402 ms
2022-04-19 14:55:46,982 ms,1.54 s,429 ms
2022-04-19 14:55:48,1.19 s,1.35 s,1.03 s
2022-04-19 14:55:50,1.16 s,1.10 s,1.22 s
2022-04-19 14:55:52,1.19 s,905 ms,1.48 s
2022-04-19 14:55:54,1.05 s,653 ms,1.44 s
2022-04-19 14:55:56,936 ms,579 ms,1.29 s
2022-04-19 14:55:58,794 ms,433 ms,1.16 s
2022-04-19 14:56:00,690 ms,570 ms,810 ms
2022-04-19 14:56:02,657 ms,655 ms,660 ms
2022-04-19 14:56:04,654 ms,693 ms,616 ms
2022-04-19 14:56:06,670 ms,674 ms,666 ms
2022-04-19 14:56:08,683 ms,626 ms,740 ms
2022-04-19 14:56:10,606 ms,453 ms,759 ms
2022-04-19 14:56:12,642 ms,481 ms,804 ms
2022-04-19 14:56:14,540 ms,437 ms,642 ms
2022-04-19 14:56:16,609 ms,669 ms,549 ms
2022-04-19 14:56:18,724 ms,817 ms,632 ms
2022-04-19 14:56:20,767 ms,950 ms,583 ms
2022-04-19 14:56:22,770 ms,923 ms,618 ms
2022-04-19 14:56:24,743 ms,829 ms,656 ms
2022-04-19 14:56:26,599 ms,671 ms,527 ms
2022-04-19 14:56:28,525 ms,562 ms,489 ms
2022-04-19 14:56:30,435 ms,350 ms,520 ms
2022-04-19 14:56:32,369 ms,323 ms,415 ms
2022-04-19 14:56:34,368 ms,315 ms,422 ms
2022-04-19 14:56:36,510 ms,439 ms,581 ms
2022-04-19 14:56:38,622 ms,594 ms,649 ms
2022-04-19 14:56:40,811 ms,808 ms,814 ms
2022-04-19 14:56:42,866 ms,801 ms,930 ms
2022-04-19 14:56:44,871 ms,846 ms,895 ms
2022-04-19 14:56:46,734 ms,718 ms,751 ms
2022-04-19 14:56:48,635 ms,621 ms,649 ms
2022-04-19 14:56:50,460 ms,486 ms,435 ms
2022-04-19 14:56:52,526 ms,467 ms,586 ms
2022-04-19 14:56:54,483 ms,394 ms,572 ms
2022-04-19 14:56:56,466 ms,331 ms,600 ms
2022-04-19 14:56:58,484 ms,332 ms,636 ms
2022-04-19 14:57:00,474 ms,365 ms,583 ms
2022-04-19 14:57:02,383 ms,371 ms,394 ms
2022-04-19 14:57:04,340 ms,371 ms,308 ms
2022-04-19 14:57:06,340 ms,382 ms,298 ms
2022-04-19 14:57:08,298 ms,335 ms,261 ms
2022-04-19 14:57:10,331 ms,395 ms,267 ms
2022-04-19 14:57:12,393 ms,483 ms,303 ms
2022-04-19 14:57:14,468 ms,524 ms,411 ms
2022-04-19 14:57:16,528 ms,515 ms,542 ms
2022-04-19 14:57:18,582 ms,507 ms,657 ms
2022-04-19 14:57:20,626 ms,463 ms,789 ms
2022-04-19 14:57:22,894 ms,388 ms,1.40 s
2022-04-19 14:57:24,1.04 s,417 ms,1.66 s
2022-04-19 14:57:26,987 ms,438 ms,1.54 s
2022-04-19 14:57:28,879 ms,370 ms,1.39 s
2022-04-19 14:57:30,886 ms,378 ms,1.40 s
2022-04-19 14:57:32,869 ms,344 ms,1.40 s
2022-04-19 14:57:34,740 ms,317 ms,1.16 s
2022-04-19 14:57:36,730 ms,396 ms,1.06 s
2022-04-19 14:57:38,617 ms,386 ms,848 ms
2022-04-19 14:57:40,483 ms,399 ms,568 ms
2022-04-19 14:57:42,641 ms,778 ms,504 ms
2022-04-19 14:57:44,612 ms,869 ms,355 ms
2022-04-19 14:57:46,671 ms,1.03 s,314 ms
2022-04-19 14:57:48,748 ms,1.14 s,358 ms
2022-04-19 14:57:50,741 ms,1.09 s,392 ms
2022-04-19 14:57:52,753 ms,1.02 s,491 ms
2022-04-19 14:57:54,747 ms,995 ms,500 ms
2022-04-19 14:57:56,572 ms,660 ms,484 ms
2022-04-19 14:57:58,492 ms,470 ms,514 ms
2022-04-19 14:58:00,392 ms,328 ms,455 ms
2022-04-19 14:58:02,398 ms,363 ms,433 ms
2022-04-19 14:58:04,484 ms,447 ms,521 ms
2022-04-19 14:58:06,636 ms,768 ms,504 ms
2022-04-19 14:58:08,717 ms,952 ms,483 ms
2022-04-19 14:58:10,706 ms,922 ms,491 ms
2022-04-19 14:58:12,663 ms,862 ms,463 ms
2022-04-19 14:58:14,531 ms,607 ms,454 ms
2022-04-19 14:58:16,421 ms,379 ms,463 ms
2022-04-19 14:58:18,404 ms,294 ms,514 ms
2022-04-19 14:58:20,530 ms,638 ms,422 ms
2022-04-19 14:58:22,592 ms,710 ms,474 ms
2022-04-19 14:58:24,936 ms,1.29 s,580 ms
2022-04-19 14:58:26,1.02 s,1.48 s,559 ms
2022-04-19 14:58:28,1.03 s,1.53 s,525 ms
2022-04-19 14:58:30,1.01 s,1.44 s,585 ms
2022-04-19 14:58:32,961 ms,1.29 s,628 ms
2022-04-19 14:58:34,995 ms,1.17 s,818 ms
2022-04-19 14:58:36,1.04 s,1.24 s,827 ms
2022-04-19 14:58:38,1.05 s,1.27 s,841 ms
2022-04-19 14:58:40,1.02 s,1.31 s,723 ms
2022-04-19 14:58:42,943 ms,1.41 s,475 ms
2022-04-19 14:58:44,775 ms,1.14 s,412 ms
2022-04-19 14:58:46,736 ms,1.05 s,420 ms
2022-04-19 14:58:48,606 ms,839 ms,373 ms
2022-04-19 14:58:50,463 ms,577 ms,349 ms
2022-04-19 14:58:52,424 ms,515 ms,334 ms
2022-04-19 14:58:54,428 ms,505 ms,352 ms
2022-04-19 14:58:56,432 ms,389 ms,475 ms
2022-04-19 14:58:58,441 ms,353 ms,529 ms
2022-04-19 14:59:00,474 ms,354 ms,595 ms
2022-04-19 14:59:02,476 ms,363 ms,589 ms
2022-04-19 14:59:04,378 ms,336 ms,421 ms
2022-04-19 14:59:06,401 ms,420 ms,381 ms
2022-04-19 14:59:08,367 ms,432 ms,301 ms
2022-04-19 14:59:10,410 ms,513 ms,307 ms
2022-04-19 14:59:12,449 ms,592 ms,306 ms
2022-04-19 14:59:14,475 ms,666 ms,283 ms
2022-04-19 14:59:16,524 ms,771 ms,276 ms
2022-04-19 14:59:18,503 ms,747 ms,258 ms
2022-04-19 14:59:20,476 ms,684 ms,267 ms
2022-04-19 14:59:22,438 ms,603 ms,274 ms
2022-04-19 14:59:24,414 ms,526 ms,302 ms
2022-04-19 14:59:26,333 ms,353 ms,313 ms
2022-04-19 14:59:28,355 ms,405 ms,306 ms
2022-04-19 14:59:30,493 ms,538 ms,448 ms
2022-04-19 14:59:32,618 ms,737 ms,499 ms
2022-04-19 14:59:34,771 ms,1.04 s,504 ms
2022-04-19 14:59:36,869 ms,1.24 s,501 ms
2022-04-19 14:59:38,842 ms,1.15 s,533 ms
2022-04-19 14:59:40,684 ms,913 ms,455 ms
2022-04-19 14:59:42,522 ms,605 ms,439 ms
2022-04-19 14:59:44,572 ms,540 ms,604 ms
2022-04-19 14:59:46,521 ms,375 ms,666 ms
2022-04-19 14:59:48,478 ms,373 ms,582 ms
2022-04-19 14:59:50,473 ms,356 ms,589 ms
2022-04-19 14:59:52,415 ms,365 ms,465 ms
2022-04-19 14:59:54,325 ms,301 ms,348 ms
2022-04-19 14:59:56,349 ms,314 ms,385 ms
2022-04-19 14:59:58,364 ms,355 ms,374 ms
2022-04-19 15:00:00,386 ms,400 ms,372 ms
2022-04-19 15:00:02,408 ms,384 ms,433 ms
2022-04-19 15:00:04,458 ms,361 ms,555 ms
2022-04-19 15:00:06,487 ms,332 ms,642 ms
2022-04-19 15:00:08,544 ms,314 ms,774 ms
2022-04-19 15:00:10,639 ms,347 ms,931 ms
2022-04-19 15:00:12,797 ms,662 ms,932 ms
2022-04-19 15:00:14,834 ms,855 ms,813 ms
2022-04-19 15:00:16,850 ms,929 ms,771 ms
2022-04-19 15:00:18,911 ms,1.04 s,785 ms
2022-04-19 15:00:20,756 ms,870 ms,642 ms
2022-04-19 15:00:22,700 ms,749 ms,652 ms
2022-04-19 15:00:24,614 ms,589 ms,639 ms
2022-04-19 15:00:26,430 ms,500 ms,360 ms
2022-04-19 15:00:28,340 ms,393 ms,287 ms
2022-04-19 15:00:30,489 ms,654 ms,324 ms
2022-04-19 15:00:32,567 ms,757 ms,376 ms
2022-04-19 15:00:34,593 ms,805 ms,381 ms
2022-04-19 15:00:36,584 ms,789 ms,379 ms
2022-04-19 15:00:38,599 ms,755 ms,444 ms
2022-04-19 15:00:40,529 ms,578 ms,480 ms
2022-04-19 15:00:42,480 ms,444 ms,515 ms
2022-04-19 15:00:44,472 ms,329 ms,616 ms
2022-04-19 15:00:46,530 ms,368 ms,692 ms
2022-04-19 15:00:48,476 ms,361 ms,591 ms
2022-04-19 15:00:50,477 ms,377 ms,577 ms
2022-04-19 15:00:52,446 ms,398 ms,494 ms
2022-04-19 15:00:54,387 ms,428 ms,347 ms
2022-04-19 15:00:56,454 ms,557 ms,351 ms
2022-04-19 15:00:58,456 ms,551 ms,361 ms
2022-04-19 15:01:00,442 ms,526 ms,358 ms
2022-04-19 15:01:02,432 ms,516 ms,347 ms
2022-04-19 15:01:04,367 ms,394 ms,340 ms
2022-04-19 15:01:06,314 ms,286 ms,343 ms
2022-04-19 15:01:08,335 ms,318 ms,352 ms
2022-04-19 15:01:10,422 ms,347 ms,497 ms
2022-04-19 15:01:12,538 ms,393 ms,683 ms
2022-04-19 15:01:14,703 ms,711 ms,695 ms
2022-04-19 15:01:16,722 ms,776 ms,667 ms
2022-04-19 15:01:18,895 ms,1.11 s,679 ms
2022-04-19 15:01:20,995 ms,1.46 s,529 ms
2022-04-19 15:01:22,1.18 s,1.54 s,816 ms
2022-04-19 15:01:24,1.37 s,1.68 s,1.06 s
2022-04-19 15:01:26,1.36 s,1.49 s,1.23 s
2022-04-19 15:01:28,1.28 s,1.22 s,1.34 s
2022-04-19 15:01:30,1.12 s,964 ms,1.29 s
2022-04-19 15:01:32,982 ms,633 ms,1.33 s
2022-04-19 15:01:34,889 ms,580 ms,1.20 s
2022-04-19 15:01:36,792 ms,602 ms,982 ms
2022-04-19 15:01:38,717 ms,663 ms,771 ms
2022-04-19 15:01:40,587 ms,619 ms,555 ms
2022-04-19 15:01:42,402 ms,463 ms,342 ms
2022-04-19 15:01:44,390 ms,453 ms,328 ms
2022-04-19 15:01:46,338 ms,348 ms,327 ms
2022-04-19 15:01:48,334 ms,340 ms,329 ms
2022-04-19 15:01:50,357 ms,387 ms,326 ms
2022-04-19 15:01:52,434 ms,504 ms,365 ms
2022-04-19 15:01:54,616 ms,667 ms,566 ms
2022-04-19 15:01:56,753 ms,683 ms,824 ms
2022-04-19 15:01:58,818 ms,700 ms,936 ms
2022-04-19 15:02:00,977 ms,781 ms,1.17 s
2022-04-19 15:02:02,1.06 s,876 ms,1.25 s
2022-04-19 15:02:04,1.13 s,961 ms,1.30 s
2022-04-19 15:02:06,1.20 s,1.07 s,1.32 s
2022-04-19 15:02:08,1.24 s,1.05 s,1.42 s
2022-04-19 15:02:10,1.17 s,900 ms,1.45 s
2022-04-19 15:02:12,1.07 s,682 ms,1.45 s
2022-04-19 15:02:14,1.13 s,751 ms,1.51 s
2022-04-19 15:02:16,1.20 s,863 ms,1.54 s
2022-04-19 15:02:18,1.19 s,865 ms,1.52 s
2022-04-19 15:02:20,1.17 s,830 ms,1.51 s
2022-04-19 15:02:22,1.06 s,836 ms,1.27 s
2022-04-19 15:02:24,627 ms,427 ms,827 ms
2022-04-19 15:02:26,535 ms,338 ms,731 ms
2022-04-19 15:02:28,395 ms,287 ms,503 ms
2022-04-19 15:02:30,300 ms,274 ms,325 ms
2022-04-19 15:02:32,358 ms,267 ms,448 ms
2022-04-19 15:02:34,383 ms,297 ms,469 ms
2022-04-19 15:02:36,505 ms,297 ms,712 ms
2022-04-19 15:02:38,624 ms,288 ms,960 ms
2022-04-19 15:02:40,684 ms,389 ms,978 ms
2022-04-19 15:02:42,772 ms,496 ms,1.05 s
2022-04-19 15:02:44,712 ms,500 ms,923 ms
2022-04-19 15:02:46,616 ms,510 ms,722 ms
2022-04-19 15:02:48,487 ms,474 ms,499 ms
2022-04-19 15:02:50,350 ms,286 ms,413 ms
2022-04-19 15:02:52,453 ms,350 ms,555 ms
2022-04-19 15:02:54,470 ms,359 ms,581 ms
2022-04-19 15:02:56,473 ms,373 ms,574 ms
2022-04-19 15:02:58,498 ms,391 ms,604 ms
2022-04-19 15:03:00,461 ms,322 ms,599 ms
2022-04-19 15:03:02,423 ms,317 ms,528 ms
2022-04-19 15:03:04,774 ms,322 ms,1.22 s
2022-04-19 15:03:06,858 ms,305 ms,1.41 s
2022-04-19 15:03:08,907 ms,274 ms,1.54 s
2022-04-19 15:03:10,853 ms,263 ms,1.44 s
2022-04-19 15:03:12,849 ms,254 ms,1.44 s
2022-04-19 15:03:14,853 ms,270 ms,1.44 s
2022-04-19 15:03:16,869 ms,301 ms,1.44 s
2022-04-19 15:03:18,360 ms,360 ms,
2022-04-19 15:03:20,366 ms,366 ms,
2022-04-19 15:03:22,1.07 s,438 ms,1.70 s
2022-04-19 15:03:24,1.10 s,626 ms,1.58 s
2022-04-19 15:03:26,1.11 s,571 ms,1.66 s
2022-04-19 15:03:28,1.06 s,569 ms,1.55 s
2022-04-19 15:03:30,965 ms,567 ms,1.36 s
2022-04-19 15:03:32,851 ms,469 ms,1.23 s
2022-04-19 15:03:34,763 ms,445 ms,1.08 s

