"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-qwz6r Memory Usage","edge-server-cv-78d887c496-jfgxb Memory Usage"
2022-04-19 13:24:00,1667878912,833939456,725766144,942112768
2022-04-19 13:24:15,1800581120,900290560,1026441216,774139904
2022-04-19 13:24:30,1800581120,900290560,1026441216,774139904
2022-04-19 13:24:45,2199052288,1099526144,1056407552,1142644736
2022-04-19 13:25:00,2199052288,1099526144,1056407552,1142644736
2022-04-19 13:25:15,2467938304,1233969152,1161555968,1306382336
2022-04-19 13:25:30,2467938304,1233969152,1161555968,1306382336
2022-04-19 13:25:45,2208284672,1104142336,1142865920,1065418752
2022-04-19 13:26:00,2208284672,1104142336,1142865920,1065418752
2022-04-19 13:26:15,2050863104,1025431552,914075648,1136787456
2022-04-19 13:26:30,2050863104,1025431552,914075648,1136787456
2022-04-19 13:26:45,1934786560,967393280,917835776,1016950784
2022-04-19 13:27:00,1934786560,967393280,917835776,1016950784
2022-04-19 13:27:15,1795244032,897622016,1051713536,743530496
2022-04-19 13:27:30,1795244032,897622016,1051713536,743530496
2022-04-19 13:27:45,2552365056,1276182528,1165099008,1387266048
2022-04-19 13:28:00,2552365056,1276182528,1165099008,1387266048
2022-04-19 13:28:15,1852633088,926316544,808525824,1044107264
2022-04-19 13:28:30,1852633088,926316544,808525824,1044107264
2022-04-19 13:28:45,1747324928,873662464,1078706176,668618752
2022-04-19 13:29:00,1747324928,873662464,1078706176,668618752
2022-04-19 13:29:15,1741996032,870998016,673140736,1068855296
2022-04-19 13:29:30,1741996032,870998016,673140736,1068855296
2022-04-19 13:29:45,1493557248,746778624,568995840,924561408
2022-04-19 13:30:00,1493557248,746778624,568995840,924561408
2022-04-19 13:30:15,2147909632,1073954816,995643392,1152266240
2022-04-19 13:30:30,2147909632,1073954816,995643392,1152266240
2022-04-19 13:30:45,1741234176,870617088,979161088,762073088
2022-04-19 13:31:00,1741234176,870617088,979161088,762073088
2022-04-19 13:31:15,1968857088,984428544,1170415616,798441472
2022-04-19 13:31:30,1968857088,984428544,1170415616,798441472
2022-04-19 13:31:45,2089594880,1044797440,895004672,1194590208
2022-04-19 13:32:00,2089594880,1044797440,895004672,1194590208
2022-04-19 13:32:15,1694228480,847114240,1007267840,686960640
2022-04-19 13:32:30,1694228480,847114240,1007267840,686960640
2022-04-19 13:32:45,1856933888,928466944,831451136,1025482752
2022-04-19 13:33:00,1856933888,928466944,831451136,1025482752
2022-04-19 13:33:15,2264449024,1132224512,1268953088,995495936
2022-04-19 13:33:30,2264449024,1132224512,1268953088,995495936
2022-04-19 13:33:45,2381606912,1190803456,1155014656,1226592256
2022-04-19 13:34:00,2381606912,1190803456,1155014656,1226592256
2022-04-19 13:34:15,2553393152,1276696576,1462444032,1090949120
2022-04-19 13:34:30,2553393152,1276696576,1462444032,1090949120
2022-04-19 13:34:45,1860628480,930314240,839778304,1020850176
2022-04-19 13:35:00,1860628480,930314240,839778304,1020850176
2022-04-19 13:35:15,1901596672,950798336,876445696,1025150976
2022-04-19 13:35:30,1901596672,950798336,876445696,1025150976
2022-04-19 13:35:45,2156494848,1078247424,1214181376,942313472
2022-04-19 13:36:00,2156494848,1078247424,1214181376,942313472
2022-04-19 13:36:15,2371395584,1185697792,1369989120,1001406464
2022-04-19 13:36:30,2371395584,1185697792,1369989120,1001406464
2022-04-19 13:36:45,2261651456,1130825728,1297190912,964460544
2022-04-19 13:37:00,2261651456,1130825728,1297190912,964460544
2022-04-19 13:37:15,1875460096,937730048,790306816,1085153280
2022-04-19 13:37:30,1875460096,937730048,790306816,1085153280
2022-04-19 13:37:45,2139578368,1069789184,1062035456,1077542912
2022-04-19 13:38:00,2139578368,1069789184,1062035456,1077542912
2022-04-19 13:38:15,2358321152,1179160576,1157677056,1200644096
2022-04-19 13:38:30,2358321152,1179160576,1157677056,1200644096
2022-04-19 13:38:45,2087653376,1043826688,1049063424,1038589952
2022-04-19 13:39:00,2087653376,1043826688,1049063424,1038589952
2022-04-19 13:39:15,1891049472,945524736,806412288,1084637184
2022-04-19 13:39:30,1891049472,945524736,806412288,1084637184
2022-04-19 13:39:45,1981415424,990707712,1132462080,848953344
2022-04-19 13:40:00,1981415424,990707712,1132462080,848953344
2022-04-19 13:40:15,1872056320,936028160,932040704,940015616
2022-04-19 13:40:30,1872056320,936028160,932040704,940015616
2022-04-19 13:40:45,2175967232,1087983616,1024745472,1151221760
2022-04-19 13:41:00,2175967232,1087983616,1024745472,1151221760
2022-04-19 13:41:15,2322894848,1161447424,1129222144,1193672704
2022-04-19 13:41:30,2322894848,1161447424,1129222144,1193672704
2022-04-19 13:41:45,2067746816,1033873408,1090387968,977358848
2022-04-19 13:42:00,2067746816,1033873408,1090387968,977358848
2022-04-19 13:42:15,2589372416,1294686208,1424990208,1164382208
2022-04-19 13:42:30,2589372416,1294686208,1424990208,1164382208
2022-04-19 13:42:45,2445258752,1222629376,1247301632,1197957120
2022-04-19 13:43:00,2445258752,1222629376,1247301632,1197957120
2022-04-19 13:43:15,2263486464,1131743232,1120284672,1143201792
2022-04-19 13:43:30,2263486464,1131743232,1120284672,1143201792
2022-04-19 13:43:45,2277330944,1138665472,1184382976,1092947968
2022-04-19 13:44:00,2277330944,1138665472,1184382976,1092947968
2022-04-19 13:44:15,1813516288,906758144,960847872,852668416
2022-04-19 13:44:30,1813516288,906758144,960847872,852668416
2022-04-19 13:44:45,2412761088,1206380544,1226313728,1186447360
2022-04-19 13:45:00,2412761088,1206380544,1226313728,1186447360
2022-04-19 13:45:15,2063171584,1031585792,746045440,1317126144
2022-04-19 13:45:30,2063171584,1031585792,746045440,1317126144
2022-04-19 13:45:45,1695608832,847804416,796192768,899416064
2022-04-19 13:46:00,1695608832,847804416,796192768,899416064
2022-04-19 13:46:15,2202857472,1101428736,1158934528,1043922944
2022-04-19 13:46:30,2202857472,1101428736,1158934528,1043922944
2022-04-19 13:46:45,2270568448,1135284224,1281904640,988663808
2022-04-19 13:47:00,2270568448,1135284224,1281904640,988663808
2022-04-19 13:47:15,1177505792,588752896,450420736,727085056
2022-04-19 13:47:30,1177505792,588752896,450420736,727085056
2022-04-19 13:47:45,2394427392,1197213696,1125466112,1268961280
2022-04-19 13:48:00,2394427392,1197213696,1125466112,1268961280
2022-04-19 13:48:15,2469707776,1234853888,1205112832,1264594944
2022-04-19 13:48:30,2469707776,1234853888,1205112832,1264594944
2022-04-19 13:48:45,2745724928,1372862464,1249026048,1496698880
2022-04-19 13:49:00,2745724928,1372862464,1249026048,1496698880
2022-04-19 13:49:15,2156462080,1078231040,1217191936,939270144
2022-04-19 13:49:30,2156462080,1078231040,1217191936,939270144
2022-04-19 13:49:45,2411970560,1205985280,1118224384,1293746176
2022-04-19 13:50:00,2411970560,1205985280,1118224384,1293746176
2022-04-19 13:50:15,2156781568,1078390784,895561728,1261219840
2022-04-19 13:50:30,2156781568,1078390784,895561728,1261219840
2022-04-19 13:50:45,2926510080,1463255040,1331539968,1594970112
2022-04-19 13:51:00,2926510080,1463255040,1331539968,1594970112
2022-04-19 13:51:15,2069508096,1034754048,1285529600,783978496
2022-04-19 13:51:30,2069508096,1034754048,1285529600,783978496
2022-04-19 13:51:45,2287099904,1143549952,1144131584,1142968320
2022-04-19 13:52:00,2287099904,1143549952,1144131584,1142968320
2022-04-19 13:52:15,2319257600,1159628800,1158221824,1161035776
2022-04-19 13:52:30,2319257600,1159628800,1158221824,1161035776
2022-04-19 13:52:45,1957441536,978720768,714629120,1242812416
2022-04-19 13:53:00,1957441536,978720768,714629120,1242812416

