"Time","edge-server-cv-78d887c496-qwz6r","edge-server-cv-78d887c496-jfgxb","Average"
2022-04-19 13:24:00,17.3,22.5,19.9
2022-04-19 13:24:15,24.5,18.5,21.5
2022-04-19 13:24:30,24.5,18.5,21.5
2022-04-19 13:24:45,25.2,27.2,26.2
2022-04-19 13:25:00,25.2,27.2,26.2
2022-04-19 13:25:15,27.7,31.1,29.4
2022-04-19 13:25:30,27.7,31.1,29.4
2022-04-19 13:25:45,27.2,25.4,26.3
2022-04-19 13:26:00,27.2,25.4,26.3
2022-04-19 13:26:15,21.8,27.1,24.4
2022-04-19 13:26:30,21.8,27.1,24.4
2022-04-19 13:26:45,21.9,24.2,23.1
2022-04-19 13:27:00,21.9,24.2,23.1
2022-04-19 13:27:15,25.1,17.7,21.4
2022-04-19 13:27:30,25.1,17.7,21.4
2022-04-19 13:27:45,27.8,33.1,30.4
2022-04-19 13:28:00,27.8,33.1,30.4
2022-04-19 13:28:15,19.3,24.9,22.1
2022-04-19 13:28:30,19.3,24.9,22.1
2022-04-19 13:28:45,25.7,15.9,20.8
2022-04-19 13:29:00,25.7,15.9,20.8
2022-04-19 13:29:15,16.0,25.5,20.8
2022-04-19 13:29:30,16.0,25.5,20.8
2022-04-19 13:29:45,13.6,22.0,17.8
2022-04-19 13:30:00,13.6,22.0,17.8
2022-04-19 13:30:15,23.7,27.5,25.6
2022-04-19 13:30:30,23.7,27.5,25.6
2022-04-19 13:30:45,23.3,18.2,20.8
2022-04-19 13:31:00,23.3,18.2,20.8
2022-04-19 13:31:15,27.9,19.0,23.5
2022-04-19 13:31:30,27.9,19.0,23.5
2022-04-19 13:31:45,21.3,28.5,24.9
2022-04-19 13:32:00,21.3,28.5,24.9
2022-04-19 13:32:15,24.0,16.4,20.2
2022-04-19 13:32:30,24.0,16.4,20.2
2022-04-19 13:32:45,19.8,24.4,22.1
2022-04-19 13:33:00,19.8,24.4,22.1
2022-04-19 13:33:15,30.3,23.7,27.0
2022-04-19 13:33:30,30.3,23.7,27.0
2022-04-19 13:33:45,27.5,29.2,28.4
2022-04-19 13:34:00,27.5,29.2,28.4
2022-04-19 13:34:15,34.9,26.0,30.4
2022-04-19 13:34:30,34.9,26.0,30.4
2022-04-19 13:34:45,20.0,24.3,22.2
2022-04-19 13:35:00,20.0,24.3,22.2
2022-04-19 13:35:15,20.9,24.4,22.7
2022-04-19 13:35:30,20.9,24.4,22.7
2022-04-19 13:35:45,28.9,22.5,25.7
2022-04-19 13:36:00,28.9,22.5,25.7
2022-04-19 13:36:15,32.7,23.9,28.3
2022-04-19 13:36:30,32.7,23.9,28.3
2022-04-19 13:36:45,30.9,23.0,27.0
2022-04-19 13:37:00,30.9,23.0,27.0
2022-04-19 13:37:15,18.8,25.9,22.4
2022-04-19 13:37:30,18.8,25.9,22.4
2022-04-19 13:37:45,25.3,25.7,25.5
2022-04-19 13:38:00,25.3,25.7,25.5
2022-04-19 13:38:15,27.6,28.6,28.1
2022-04-19 13:38:30,27.6,28.6,28.1
2022-04-19 13:38:45,25.0,24.8,24.9
2022-04-19 13:39:00,25.0,24.8,24.9
2022-04-19 13:39:15,19.2,25.9,22.5
2022-04-19 13:39:30,19.2,25.9,22.5
2022-04-19 13:39:45,27,20.2,23.6
2022-04-19 13:40:00,27,20.2,23.6
2022-04-19 13:40:15,22.2,22.4,22.3
2022-04-19 13:40:30,22.2,22.4,22.3
2022-04-19 13:40:45,24.4,27.4,25.9
2022-04-19 13:41:00,24.4,27.4,25.9
2022-04-19 13:41:15,26.9,28.5,27.7
2022-04-19 13:41:30,26.9,28.5,27.7
2022-04-19 13:41:45,26.0,23.3,24.6
2022-04-19 13:42:00,26.0,23.3,24.6
2022-04-19 13:42:15,34.0,27.8,30.9
2022-04-19 13:42:30,34.0,27.8,30.9
2022-04-19 13:42:45,29.7,28.6,29.1
2022-04-19 13:43:00,29.7,28.6,29.1
2022-04-19 13:43:15,26.7,27.3,27.0
2022-04-19 13:43:30,26.7,27.3,27.0
2022-04-19 13:43:45,28.2,26.1,27.1
2022-04-19 13:44:00,28.2,26.1,27.1
2022-04-19 13:44:15,22.9,20.3,21.6
2022-04-19 13:44:30,22.9,20.3,21.6
2022-04-19 13:44:45,29.2,28.3,28.8
2022-04-19 13:45:00,29.2,28.3,28.8
2022-04-19 13:45:15,17.8,31.4,24.6
2022-04-19 13:45:30,17.8,31.4,24.6
2022-04-19 13:45:45,19.0,21.4,20.2
2022-04-19 13:46:00,19.0,21.4,20.2
2022-04-19 13:46:15,27.6,24.9,26.3
2022-04-19 13:46:30,27.6,24.9,26.3
2022-04-19 13:46:45,30.6,23.6,27.1
2022-04-19 13:47:00,30.6,23.6,27.1
2022-04-19 13:47:15,10.7,17.3,14.0
2022-04-19 13:47:30,10.7,17.3,14.0
2022-04-19 13:47:45,26.8,30.3,28.5
2022-04-19 13:48:00,26.8,30.3,28.5
2022-04-19 13:48:15,28.7,30.2,29.4
2022-04-19 13:48:30,28.7,30.2,29.4
2022-04-19 13:48:45,29.8,35.7,32.7
2022-04-19 13:49:00,29.8,35.7,32.7
2022-04-19 13:49:15,29.0,22.4,25.7
2022-04-19 13:49:30,29.0,22.4,25.7
2022-04-19 13:49:45,26.7,30.8,28.8
2022-04-19 13:50:00,26.7,30.8,28.8
2022-04-19 13:50:15,21.4,30.1,25.7
2022-04-19 13:50:30,21.4,30.1,25.7
2022-04-19 13:50:45,31.7,38.0,34.9
2022-04-19 13:51:00,31.7,38.0,34.9
2022-04-19 13:51:15,30.6,18.7,24.7
2022-04-19 13:51:30,30.6,18.7,24.7
2022-04-19 13:51:45,27.3,27.3,27.3
2022-04-19 13:52:00,27.3,27.3,27.3
2022-04-19 13:52:15,27.6,27.7,27.6
2022-04-19 13:52:30,27.6,27.7,27.6
2022-04-19 13:52:45,17.0,29.6,23.3
2022-04-19 13:53:00,17.0,29.6,23.3

