"Time","Average Response Rate","edge-server-cv-74d975f7cd-h8kdk Response","edge-server-cv-74d975f7cd-mqhqf Response"
2022-04-18 17:15:06,353 ms,454 ms,253 ms
2022-04-18 17:15:08,355 ms,454 ms,257 ms
2022-04-18 17:15:10,355 ms,451 ms,258 ms
2022-04-18 17:15:12,329 ms,348 ms,310 ms
2022-04-18 17:15:14,282 ms,263 ms,302 ms
2022-04-18 17:15:16,283 ms,258 ms,309 ms
2022-04-18 17:15:18,289 ms,258 ms,321 ms
2022-04-18 17:15:20,285 ms,266 ms,304 ms
2022-04-18 17:15:22,262 ms,260 ms,264 ms
2022-04-18 17:15:24,259 ms,253 ms,265 ms
2022-04-18 17:15:26,258 ms,260 ms,257 ms
2022-04-18 17:15:28,258 ms,260 ms,257 ms
2022-04-18 17:15:30,262 ms,259 ms,265 ms
2022-04-18 17:15:32,271 ms,267 ms,276 ms
2022-04-18 17:15:34,276 ms,274 ms,278 ms
2022-04-18 17:15:36,262 ms,247 ms,278 ms
2022-04-18 17:15:38,266 ms,249 ms,283 ms
2022-04-18 17:15:40,279 ms,281 ms,278 ms
2022-04-18 17:15:42,265 ms,275 ms,255 ms
2022-04-18 17:15:44,318 ms,285 ms,352 ms
2022-04-18 17:15:46,333 ms,313 ms,352 ms
2022-04-18 17:15:48,321 ms,291 ms,352 ms
2022-04-18 17:15:50,340 ms,231 ms,449 ms
2022-04-18 17:15:52,348 ms,247 ms,449 ms
2022-04-18 17:15:54,324 ms,248 ms,399 ms
2022-04-18 17:15:56,330 ms,260 ms,399 ms
2022-04-18 17:15:58,312 ms,259 ms,365 ms
2022-04-18 17:16:00,272 ms,264 ms,281 ms
2022-04-18 17:16:02,349 ms,406 ms,291 ms
2022-04-18 17:16:04,350 ms,409 ms,290 ms
2022-04-18 17:16:06,356 ms,421 ms,291 ms
2022-04-18 17:16:08,338 ms,379 ms,296 ms
2022-04-18 17:16:10,280 ms,271 ms,289 ms
2022-04-18 17:16:12,270 ms,260 ms,280 ms
2022-04-18 17:16:14,269 ms,260 ms,279 ms
2022-04-18 17:16:16,323 ms,256 ms,390 ms
2022-04-18 17:16:18,312 ms,234 ms,390 ms
2022-04-18 17:16:20,317 ms,264 ms,370 ms
2022-04-18 17:16:22,333 ms,264 ms,401 ms
2022-04-18 17:16:24,277 ms,264 ms,289 ms
2022-04-18 17:16:26,271 ms,254 ms,289 ms
2022-04-18 17:16:28,268 ms,254 ms,282 ms
2022-04-18 17:16:30,286 ms,259 ms,314 ms
2022-04-18 17:16:32,277 ms,259 ms,296 ms
2022-04-18 17:16:34,276 ms,268 ms,284 ms
2022-04-18 17:16:36,255 ms,226 ms,284 ms
2022-04-18 17:16:38,250 ms,230 ms,270 ms
2022-04-18 17:16:40,495 ms,749 ms,240 ms
2022-04-18 17:16:42,508 ms,749 ms,267 ms
2022-04-18 17:16:44,552 ms,829 ms,276 ms
2022-04-18 17:16:46,552 ms,791 ms,313 ms
2022-04-18 17:16:48,462 ms,627 ms,298 ms
2022-04-18 17:16:50,279 ms,305 ms,254 ms
2022-04-18 17:16:52,268 ms,301 ms,236 ms
2022-04-18 17:16:54,256 ms,281 ms,232 ms
2022-04-18 17:16:56,258 ms,287 ms,229 ms
2022-04-18 17:16:58,300 ms,326 ms,274 ms
2022-04-18 17:17:00,306 ms,342 ms,269 ms
2022-04-18 17:17:02,321 ms,373 ms,268 ms
2022-04-18 17:17:04,376 ms,485 ms,268 ms
2022-04-18 17:17:06,322 ms,373 ms,271 ms
2022-04-18 17:17:08,361 ms,368 ms,355 ms
2022-04-18 17:17:10,376 ms,344 ms,408 ms
2022-04-18 17:17:12,344 ms,326 ms,363 ms
2022-04-18 17:17:14,320 ms,326 ms,313 ms
2022-04-18 17:17:16,257 ms,263 ms,250 ms
2022-04-18 17:17:18,252 ms,255 ms,250 ms
2022-04-18 17:17:20,242 ms,245 ms,239 ms
2022-04-18 17:17:22,234 ms,236 ms,232 ms
2022-04-18 17:17:24,229 ms,236 ms,222 ms
2022-04-18 17:17:26,229 ms,236 ms,222 ms
2022-04-18 17:17:28,,,459 ms
2022-04-18 17:17:30,484 ms,466 ms,503 ms
2022-04-18 17:17:32,492 ms,466 ms,518 ms
2022-04-18 17:17:34,397 ms,372 ms,421 ms
2022-04-18 17:17:36,377 ms,334 ms,421 ms
2022-04-18 17:17:38,315 ms,314 ms,316 ms
2022-04-18 17:17:40,268 ms,257 ms,279 ms
2022-04-18 17:17:42,276 ms,264 ms,289 ms
2022-04-18 17:17:44,289 ms,262 ms,316 ms
2022-04-18 17:17:46,319 ms,239 ms,399 ms
2022-04-18 17:17:48,314 ms,229 ms,399 ms
2022-04-18 17:17:50,249 ms,219 ms,278 ms
2022-04-18 17:17:52,251 ms,223 ms,278 ms
2022-04-18 17:17:54,283 ms,228 ms,337 ms
2022-04-18 17:17:56,308 ms,249 ms,367 ms
2022-04-18 17:17:58,308 ms,249 ms,367 ms
2022-04-18 17:18:00,309 ms,266 ms,352 ms
2022-04-18 17:18:02,309 ms,245 ms,373 ms
2022-04-18 17:18:04,298 ms,254 ms,343 ms
2022-04-18 17:18:06,304 ms,264 ms,343 ms
2022-04-18 17:18:08,325 ms,264 ms,386 ms
2022-04-18 17:18:10,272 ms,274 ms,269 ms
2022-04-18 17:18:12,268 ms,274 ms,263 ms
2022-04-18 17:18:14,275 ms,290 ms,261 ms
2022-04-18 17:18:16,278 ms,294 ms,261 ms
2022-04-18 17:18:18,318 ms,373 ms,262 ms
2022-04-18 17:18:20,289 ms,328 ms,249 ms
2022-04-18 17:18:22,283 ms,317 ms,249 ms
2022-04-18 17:18:24,274 ms,307 ms,242 ms
2022-04-18 17:18:26,281 ms,320 ms,242 ms
2022-04-18 17:18:28,276 ms,254 ms,299 ms
2022-04-18 17:18:30,287 ms,245 ms,329 ms
2022-04-18 17:18:32,298 ms,250 ms,347 ms
2022-04-18 17:18:34,302 ms,250 ms,354 ms
2022-04-18 17:18:36,322 ms,257 ms,387 ms
2022-04-18 17:18:38,314 ms,275 ms,353 ms
2022-04-18 17:18:40,266 ms,275 ms,258 ms
2022-04-18 17:18:42,,264 ms,
2022-04-18 17:18:44,,262 ms,
2022-04-18 17:18:46,299 ms,303 ms,296 ms
2022-04-18 17:18:48,282 ms,290 ms,274 ms
2022-04-18 17:18:50,289 ms,304 ms,274 ms
2022-04-18 17:18:52,284 ms,294 ms,274 ms
2022-04-18 17:18:54,263 ms,253 ms,274 ms
2022-04-18 17:18:56,259 ms,266 ms,252 ms
2022-04-18 17:18:58,257 ms,249 ms,265 ms
2022-04-18 17:19:00,,,256 ms
2022-04-18 17:19:02,282 ms,281 ms,282 ms
2022-04-18 17:19:04,279 ms,281 ms,278 ms
2022-04-18 17:19:06,278 ms,281 ms,275 ms
2022-04-18 17:19:08,263 ms,263 ms,263 ms
2022-04-18 17:19:10,264 ms,267 ms,260 ms
2022-04-18 17:19:12,318 ms,353 ms,282 ms
2022-04-18 17:19:14,349 ms,421 ms,277 ms
2022-04-18 17:19:16,380 ms,469 ms,292 ms
2022-04-18 17:19:18,376 ms,460 ms,292 ms
2022-04-18 17:19:20,366 ms,476 ms,256 ms
2022-04-18 17:19:22,388 ms,454 ms,322 ms
2022-04-18 17:19:24,386 ms,413 ms,359 ms
2022-04-18 17:19:26,369 ms,379 ms,359 ms
2022-04-18 17:19:28,355 ms,398 ms,313 ms
2022-04-18 17:19:30,293 ms,274 ms,313 ms
2022-04-18 17:19:32,272 ms,274 ms,271 ms
2022-04-18 17:19:34,271 ms,271 ms,271 ms
2022-04-18 17:19:36,333 ms,271 ms,395 ms
2022-04-18 17:19:38,276 ms,171 ms,380 ms
2022-04-18 17:19:40,281 ms,171 ms,392 ms
2022-04-18 17:19:42,319 ms,209 ms,428 ms
2022-04-18 17:19:44,416 ms,418 ms,414 ms
2022-04-18 17:19:46,313 ms,393 ms,234 ms
2022-04-18 17:19:48,362 ms,437 ms,288 ms
2022-04-18 17:19:50,355 ms,429 ms,280 ms
2022-04-18 17:19:52,259 ms,236 ms,282 ms
2022-04-18 17:19:54,263 ms,208 ms,318 ms
2022-04-18 17:19:56,365 ms,391 ms,339 ms
2022-04-18 17:19:58,333 ms,357 ms,308 ms
2022-04-18 17:20:00,361 ms,407 ms,314 ms
2022-04-18 17:20:02,355 ms,407 ms,304 ms
2022-04-18 17:20:04,374 ms,377 ms,371 ms
2022-04-18 17:20:06,342 ms,271 ms,413 ms
2022-04-18 17:20:08,329 ms,265 ms,392 ms
2022-04-18 17:20:10,318 ms,261 ms,376 ms
2022-04-18 17:20:12,279 ms,249 ms,310 ms
2022-04-18 17:20:14,373 ms,445 ms,302 ms
2022-04-18 17:20:16,402 ms,545 ms,259 ms
2022-04-18 17:20:18,575 ms,836 ms,314 ms
2022-04-18 17:20:20,584 ms,836 ms,332 ms
2022-04-18 17:20:22,,,379 ms
2022-04-18 17:20:24,325 ms,271 ms,379 ms
2022-04-18 17:20:26,271 ms,271 ms,270 ms
2022-04-18 17:20:28,335 ms,400 ms,270 ms
2022-04-18 17:20:30,323 ms,380 ms,266 ms
2022-04-18 17:20:32,310 ms,361 ms,259 ms
2022-04-18 17:20:34,302 ms,358 ms,246 ms
2022-04-18 17:20:36,337 ms,430 ms,244 ms
2022-04-18 17:20:38,343 ms,442 ms,244 ms
2022-04-18 17:20:40,331 ms,429 ms,234 ms
2022-04-18 17:20:42,331 ms,436 ms,226 ms
2022-04-18 17:20:44,346 ms,369 ms,322 ms
2022-04-18 17:20:46,323 ms,369 ms,276 ms
2022-04-18 17:20:48,331 ms,385 ms,276 ms
2022-04-18 17:20:50,311 ms,346 ms,276 ms
2022-04-18 17:20:52,252 ms,264 ms,241 ms
2022-04-18 17:20:54,290 ms,326 ms,253 ms
2022-04-18 17:20:56,320 ms,326 ms,315 ms
2022-04-18 17:20:58,325 ms,328 ms,323 ms
2022-04-18 17:21:00,329 ms,330 ms,329 ms
2022-04-18 17:21:02,285 ms,269 ms,301 ms
2022-04-18 17:21:04,278 ms,263 ms,294 ms
2022-04-18 17:21:06,260 ms,263 ms,256 ms
2022-04-18 17:21:08,343 ms,261 ms,424 ms
2022-04-18 17:21:10,513 ms,290 ms,735 ms
2022-04-18 17:21:12,582 ms,298 ms,867 ms
2022-04-18 17:21:14,606 ms,416 ms,797 ms
2022-04-18 17:21:16,628 ms,381 ms,876 ms
2022-04-18 17:21:18,369 ms,363 ms,376 ms
2022-04-18 17:21:20,391 ms,354 ms,428 ms
2022-04-18 17:21:22,358 ms,354 ms,362 ms
2022-04-18 17:21:24,318 ms,369 ms,268 ms
2022-04-18 17:21:26,,575 ms,
2022-04-18 17:21:28,554 ms,556 ms,551 ms
2022-04-18 17:21:30,555 ms,559 ms,551 ms
2022-04-18 17:21:32,512 ms,545 ms,478 ms
2022-04-18 17:21:34,484 ms,490 ms,478 ms
2022-04-18 17:21:36,514 ms,383 ms,645 ms
2022-04-18 17:21:38,495 ms,408 ms,582 ms
2022-04-18 17:21:40,545 ms,402 ms,689 ms
2022-04-18 17:21:42,468 ms,247 ms,689 ms
2022-04-18 17:21:44,280 ms,313 ms,247 ms
2022-04-18 17:21:46,283 ms,313 ms,254 ms
2022-04-18 17:21:48,323 ms,400 ms,247 ms
2022-04-18 17:21:50,297 ms,345 ms,250 ms
2022-04-18 17:21:52,290 ms,331 ms,250 ms
2022-04-18 17:21:54,297 ms,331 ms,263 ms
2022-04-18 17:21:56,291 ms,317 ms,265 ms
2022-04-18 17:21:58,274 ms,278 ms,271 ms
2022-04-18 17:22:00,436 ms,273 ms,600 ms
2022-04-18 17:22:02,489 ms,260 ms,717 ms
2022-04-18 17:22:04,466 ms,290 ms,642 ms
2022-04-18 17:22:06,469 ms,345 ms,593 ms
2022-04-18 17:22:08,501 ms,409 ms,593 ms
2022-04-18 17:22:10,345 ms,408 ms,282 ms
2022-04-18 17:22:12,314 ms,363 ms,265 ms
2022-04-18 17:22:14,286 ms,326 ms,246 ms
2022-04-18 17:22:16,239 ms,237 ms,242 ms
2022-04-18 17:22:18,241 ms,228 ms,254 ms
2022-04-18 17:22:20,238 ms,222 ms,254 ms
2022-04-18 17:22:22,,,275 ms
2022-04-18 17:22:24,263 ms,256 ms,271 ms
2022-04-18 17:22:26,335 ms,256 ms,414 ms
2022-04-18 17:22:28,401 ms,320 ms,482 ms
2022-04-18 17:22:30,383 ms,299 ms,468 ms
2022-04-18 17:22:32,390 ms,312 ms,468 ms
2022-04-18 17:22:34,380 ms,297 ms,463 ms
2022-04-18 17:22:36,282 ms,265 ms,298 ms
2022-04-18 17:22:38,274 ms,265 ms,283 ms
2022-04-18 17:22:40,250 ms,264 ms,236 ms
2022-04-18 17:22:42,293 ms,262 ms,324 ms
2022-04-18 17:22:44,340 ms,259 ms,422 ms
2022-04-18 17:22:46,369 ms,263 ms,474 ms
2022-04-18 17:22:48,357 ms,263 ms,451 ms
2022-04-18 17:22:50,336 ms,247 ms,426 ms
2022-04-18 17:22:52,348 ms,240 ms,456 ms
2022-04-18 17:22:54,374 ms,252 ms,497 ms
2022-04-18 17:22:56,366 ms,252 ms,480 ms
2022-04-18 17:22:58,380 ms,253 ms,507 ms
2022-04-18 17:23:00,530 ms,517 ms,543 ms
2022-04-18 17:23:02,439 ms,517 ms,361 ms
2022-04-18 17:23:04,443 ms,638 ms,248 ms
2022-04-18 17:23:06,445 ms,638 ms,252 ms
2022-04-18 17:23:08,242 ms,225 ms,260 ms
2022-04-18 17:23:10,279 ms,283 ms,275 ms
2022-04-18 17:23:12,302 ms,353 ms,251 ms
2022-04-18 17:23:14,315 ms,321 ms,308 ms
2022-04-18 17:23:16,327 ms,340 ms,315 ms
2022-04-18 17:23:18,331 ms,340 ms,323 ms
2022-04-18 17:23:20,381 ms,455 ms,307 ms
2022-04-18 17:23:22,355 ms,360 ms,350 ms
2022-04-18 17:23:24,281 ms,334 ms,229 ms
2022-04-18 17:23:26,275 ms,322 ms,229 ms
2022-04-18 17:23:28,260 ms,249 ms,270 ms
2022-04-18 17:23:30,258 ms,243 ms,274 ms
2022-04-18 17:23:32,282 ms,247 ms,317 ms
2022-04-18 17:23:34,364 ms,411 ms,317 ms
2022-04-18 17:23:36,356 ms,411 ms,301 ms
2022-04-18 17:23:38,381 ms,443 ms,318 ms
2022-04-18 17:23:40,364 ms,443 ms,285 ms
2022-04-18 17:23:42,308 ms,365 ms,251 ms
2022-04-18 17:23:44,275 ms,230 ms,319 ms
2022-04-18 17:23:46,275 ms,231 ms,319 ms
2022-04-18 17:23:48,298 ms,277 ms,319 ms
2022-04-18 17:23:50,289 ms,266 ms,311 ms
2022-04-18 17:23:52,271 ms,278 ms,263 ms
2022-04-18 17:23:54,246 ms,275 ms,216 ms
2022-04-18 17:23:56,225 ms,233 ms,216 ms
2022-04-18 17:23:58,229 ms,239 ms,218 ms
2022-04-18 17:24:00,224 ms,249 ms,199 ms
2022-04-18 17:24:02,243 ms,257 ms,229 ms
2022-04-18 17:24:04,266 ms,304 ms,229 ms
2022-04-18 17:24:06,,364 ms,
2022-04-18 17:24:08,288 ms,339 ms,238 ms
2022-04-18 17:24:10,287 ms,332 ms,242 ms
2022-04-18 17:24:12,280 ms,317 ms,243 ms
2022-04-18 17:24:14,261 ms,280 ms,243 ms
2022-04-18 17:24:16,289 ms,337 ms,242 ms
2022-04-18 17:24:18,297 ms,353 ms,240 ms
2022-04-18 17:24:20,298 ms,359 ms,238 ms
2022-04-18 17:24:22,297 ms,356 ms,238 ms
2022-04-18 17:24:24,300 ms,363 ms,238 ms
2022-04-18 17:24:26,284 ms,339 ms,228 ms
2022-04-18 17:24:28,295 ms,360 ms,231 ms
2022-04-18 17:24:30,254 ms,277 ms,231 ms
2022-04-18 17:24:32,256 ms,277 ms,235 ms
2022-04-18 17:24:34,444 ms,631 ms,257 ms
2022-04-18 17:24:36,452 ms,536 ms,367 ms
2022-04-18 17:24:38,425 ms,482 ms,367 ms
2022-04-18 17:24:40,463 ms,465 ms,462 ms
2022-04-18 17:24:42,376 ms,283 ms,468 ms
2022-04-18 17:24:44,364 ms,264 ms,464 ms
2022-04-18 17:24:46,332 ms,267 ms,398 ms
2022-04-18 17:24:48,331 ms,267 ms,396 ms
2022-04-18 17:24:50,247 ms,234 ms,261 ms
2022-04-18 17:24:52,264 ms,268 ms,260 ms
2022-04-18 17:24:54,292 ms,294 ms,291 ms
2022-04-18 17:24:56,296 ms,287 ms,305 ms
2022-04-18 17:24:58,293 ms,291 ms,296 ms
2022-04-18 17:25:00,300 ms,272 ms,329 ms
2022-04-18 17:25:02,264 ms,263 ms,264 ms
2022-04-18 17:25:04,303 ms,348 ms,257 ms
2022-04-18 17:25:06,399 ms,541 ms,257 ms
2022-04-18 17:25:08,409 ms,572 ms,246 ms
2022-04-18 17:25:10,437 ms,623 ms,252 ms
2022-04-18 17:25:12,503 ms,757 ms,250 ms
2022-04-18 17:25:14,474 ms,699 ms,250 ms
2022-04-18 17:25:16,320 ms,290 ms,349 ms
2022-04-18 17:25:18,354 ms,273 ms,436 ms
2022-04-18 17:25:20,319 ms,263 ms,375 ms
2022-04-18 17:25:22,288 ms,254 ms,322 ms
2022-04-18 17:25:24,265 ms,281 ms,250 ms
2022-04-18 17:25:26,265 ms,280 ms,250 ms
2022-04-18 17:25:28,301 ms,353 ms,249 ms
2022-04-18 17:25:30,364 ms,479 ms,248 ms
2022-04-18 17:25:32,387 ms,516 ms,257 ms
2022-04-18 17:25:34,387 ms,516 ms,257 ms
2022-04-18 17:25:36,398 ms,510 ms,286 ms
2022-04-18 17:25:38,335 ms,359 ms,310 ms
2022-04-18 17:25:40,287 ms,221 ms,353 ms
2022-04-18 17:25:42,313 ms,234 ms,393 ms
2022-04-18 17:25:44,319 ms,234 ms,404 ms
2022-04-18 17:25:46,327 ms,249 ms,405 ms
2022-04-18 17:25:48,321 ms,280 ms,363 ms
2022-04-18 17:25:50,288 ms,289 ms,287 ms
2022-04-18 17:25:52,307 ms,289 ms,326 ms
2022-04-18 17:25:54,305 ms,295 ms,314 ms
2022-04-18 17:25:56,296 ms,293 ms,299 ms
2022-04-18 17:25:58,289 ms,275 ms,303 ms
2022-04-18 17:26:00,320 ms,275 ms,365 ms
2022-04-18 17:26:02,321 ms,257 ms,384 ms
2022-04-18 17:26:04,336 ms,256 ms,416 ms
2022-04-18 17:26:06,463 ms,549 ms,377 ms
2022-04-18 17:26:08,484 ms,621 ms,347 ms
2022-04-18 17:26:10,469 ms,688 ms,250 ms
2022-04-18 17:26:12,426 ms,602 ms,250 ms
2022-04-18 17:26:14,474 ms,689 ms,258 ms
2022-04-18 17:26:16,317 ms,389 ms,245 ms
2022-04-18 17:26:18,258 ms,269 ms,247 ms
2022-04-18 17:26:20,284 ms,282 ms,287 ms
2022-04-18 17:26:22,288 ms,282 ms,295 ms
2022-04-18 17:26:24,354 ms,419 ms,289 ms
2022-04-18 17:26:26,340 ms,382 ms,298 ms
2022-04-18 17:26:28,337 ms,359 ms,314 ms
2022-04-18 17:26:30,306 ms,348 ms,263 ms
2022-04-18 17:26:32,308 ms,348 ms,268 ms
2022-04-18 17:26:34,392 ms,362 ms,422 ms
2022-04-18 17:26:36,378 ms,377 ms,378 ms
2022-04-18 17:26:38,370 ms,365 ms,376 ms
2022-04-18 17:26:40,382 ms,365 ms,400 ms
2022-04-18 17:26:42,283 ms,260 ms,306 ms
2022-04-18 17:26:44,283 ms,260 ms,306 ms
2022-04-18 17:26:46,275 ms,268 ms,282 ms
2022-04-18 17:26:48,239 ms,279 ms,199 ms
2022-04-18 17:26:50,249 ms,277 ms,220 ms
2022-04-18 17:26:52,248 ms,276 ms,220 ms
2022-04-18 17:26:54,578 ms,323 ms,833 ms
2022-04-18 17:26:56,610 ms,462 ms,759 ms
2022-04-18 17:26:58,580 ms,475 ms,685 ms
2022-04-18 17:27:00,565 ms,445 ms,685 ms
2022-04-18 17:27:02,516 ms,547 ms,485 ms
2022-04-18 17:27:04,423 ms,547 ms,299 ms
2022-04-18 17:27:06,217 ms,232 ms,202 ms
2022-04-18 17:27:08,241 ms,252 ms,230 ms
2022-04-18 17:27:10,246 ms,252 ms,240 ms
2022-04-18 17:27:12,296 ms,345 ms,247 ms
2022-04-18 17:27:14,302 ms,349 ms,256 ms
2022-04-18 17:27:16,364 ms,373 ms,354 ms
2022-04-18 17:27:18,364 ms,373 ms,354 ms
2022-04-18 17:27:20,386 ms,373 ms,398 ms
2022-04-18 17:27:22,344 ms,264 ms,425 ms
2022-04-18 17:27:24,393 ms,348 ms,438 ms
2022-04-18 17:27:26,377 ms,348 ms,407 ms
2022-04-18 17:27:28,,313 ms,
2022-04-18 17:27:30,649 ms,339 ms,959 ms
2022-04-18 17:27:32,518 ms,309 ms,728 ms
2022-04-18 17:27:34,492 ms,368 ms,615 ms
2022-04-18 17:27:36,395 ms,348 ms,442 ms
2022-04-18 17:27:38,412 ms,398 ms,425 ms
2022-04-18 17:27:40,335 ms,399 ms,270 ms
2022-04-18 17:27:42,364 ms,457 ms,271 ms
2022-04-18 17:27:44,354 ms,440 ms,268 ms
2022-04-18 17:27:46,347 ms,436 ms,258 ms
2022-04-18 17:27:48,298 ms,349 ms,247 ms
2022-04-18 17:27:50,299 ms,346 ms,252 ms
2022-04-18 17:27:52,300 ms,332 ms,268 ms
2022-04-18 17:27:54,336 ms,317 ms,354 ms
2022-04-18 17:27:56,325 ms,306 ms,343 ms
2022-04-18 17:27:58,326 ms,307 ms,345 ms
2022-04-18 17:28:00,330 ms,289 ms,371 ms
2022-04-18 17:28:02,317 ms,344 ms,291 ms
2022-04-18 17:28:04,320 ms,358 ms,282 ms
2022-04-18 17:28:06,341 ms,451 ms,232 ms
2022-04-18 17:28:08,360 ms,495 ms,225 ms
2022-04-18 17:28:10,363 ms,495 ms,231 ms
2022-04-18 17:28:12,350 ms,466 ms,235 ms
2022-04-18 17:28:14,418 ms,460 ms,375 ms
2022-04-18 17:28:16,328 ms,243 ms,412 ms
2022-04-18 17:28:18,316 ms,242 ms,391 ms
2022-04-18 17:28:20,318 ms,247 ms,388 ms
2022-04-18 17:28:22,253 ms,249 ms,258 ms
2022-04-18 17:28:24,251 ms,243 ms,259 ms
2022-04-18 17:28:26,266 ms,273 ms,259 ms
2022-04-18 17:28:28,287 ms,317 ms,257 ms
2022-04-18 17:28:30,292 ms,317 ms,266 ms
2022-04-18 17:28:32,423 ms,312 ms,534 ms
2022-04-18 17:28:34,535 ms,332 ms,737 ms
2022-04-18 17:28:36,505 ms,273 ms,737 ms
2022-04-18 17:28:38,490 ms,243 ms,737 ms
2022-04-18 17:28:40,557 ms,310 ms,804 ms
2022-04-18 17:28:42,376 ms,305 ms,448 ms
2022-04-18 17:28:44,402 ms,299 ms,504 ms
2022-04-18 17:28:46,408 ms,313 ms,504 ms
2022-04-18 17:28:48,378 ms,313 ms,442 ms
2022-04-18 17:28:50,294 ms,275 ms,313 ms
2022-04-18 17:28:52,314 ms,290 ms,339 ms
2022-04-18 17:28:54,334 ms,306 ms,363 ms
2022-04-18 17:28:56,353 ms,322 ms,383 ms
2022-04-18 17:28:58,343 ms,306 ms,380 ms
2022-04-18 17:29:00,340 ms,306 ms,373 ms
2022-04-18 17:29:02,305 ms,270 ms,341 ms
2022-04-18 17:29:04,271 ms,264 ms,278 ms
2022-04-18 17:29:06,251 ms,251 ms,251 ms
2022-04-18 17:29:08,301 ms,351 ms,252 ms
2022-04-18 17:29:10,314 ms,384 ms,244 ms
2022-04-18 17:29:12,283 ms,351 ms,215 ms
2022-04-18 17:29:14,310 ms,351 ms,270 ms
2022-04-18 17:29:16,293 ms,316 ms,270 ms
2022-04-18 17:29:18,252 ms,229 ms,275 ms
2022-04-18 17:29:20,226 ms,206 ms,247 ms
2022-04-18 17:29:22,263 ms,226 ms,299 ms
2022-04-18 17:29:24,275 ms,250 ms,299 ms
2022-04-18 17:29:26,273 ms,250 ms,295 ms
2022-04-18 17:29:28,289 ms,266 ms,312 ms
