"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-74d975f7cd-64tvg Memory Usage","edge-server-cv-74d975f7cd-xj7sb Memory Usage"
2022-04-18 16:36:30,1795833856,897916928,957423616,838410240
2022-04-18 16:36:45,2346184704,1173092352,1175027712,1171156992
2022-04-18 16:37:00,2346184704,1173092352,1175027712,1171156992
2022-04-18 16:37:15,2365812736,1182906368,1284235264,1081577472
2022-04-18 16:37:30,2365812736,1182906368,1284235264,1081577472
2022-04-18 16:37:45,2121183232,1060591616,1222930432,898252800
2022-04-18 16:38:00,2121183232,1060591616,1222930432,898252800
2022-04-18 16:38:15,2022555648,1011277824,947040256,1075515392
2022-04-18 16:38:30,2022555648,1011277824,947040256,1075515392
2022-04-18 16:38:45,2381639680,1190819840,1308774400,1072865280
2022-04-18 16:39:00,2381639680,1190819840,1308774400,1072865280
2022-04-18 16:39:15,2545426432,1272713216,1388863488,1156562944
2022-04-18 16:39:30,2545426432,1272713216,1388863488,1156562944
2022-04-18 16:39:45,1694916608,847458304,866689024,828227584
2022-04-18 16:40:00,1694916608,847458304,866689024,828227584
2022-04-18 16:40:15,2205691904,1102845952,1121861632,1083830272
2022-04-18 16:40:30,2205691904,1102845952,1121861632,1083830272
2022-04-18 16:40:45,2265964544,1132982272,1055887360,1210077184
2022-04-18 16:41:00,2265964544,1132982272,1055887360,1210077184
2022-04-18 16:41:15,1971068928,985534464,1209249792,761819136
2022-04-18 16:41:30,1971068928,985534464,1209249792,761819136
2022-04-18 16:41:45,2049806336,1024903168,1101922304,947884032
2022-04-18 16:42:00,2049806336,1024903168,1101922304,947884032
2022-04-18 16:42:15,2098266112,1049133056,1185726464,912539648
2022-04-18 16:42:30,2098266112,1049133056,1185726464,912539648
2022-04-18 16:42:45,2074042368,1037021184,1233293312,840749056
2022-04-18 16:43:00,2074042368,1037021184,1233293312,840749056
2022-04-18 16:43:15,1994809344,997404672,1144504320,850305024
2022-04-18 16:43:30,1994809344,997404672,1144504320,850305024
2022-04-18 16:43:45,2299342848,1149671424,1242710016,1056632832
2022-04-18 16:44:00,2299342848,1149671424,1242710016,1056632832
2022-04-18 16:44:15,1944948736,972474368,887939072,1057009664
2022-04-18 16:44:30,1944948736,972474368,887939072,1057009664
2022-04-18 16:44:45,2425511936,1212755968,1152049152,1273462784
2022-04-18 16:45:00,2425511936,1212755968,1152049152,1273462784
2022-04-18 16:45:15,1575825408,787912704,863444992,712380416
2022-04-18 16:45:30,1575825408,787912704,863444992,712380416
2022-04-18 16:45:45,2183393280,1091696640,1171439616,1011953664
2022-04-18 16:46:00,2183393280,1091696640,1171439616,1011953664
2022-04-18 16:46:15,2134642688,1067321344,1178865664,955777024
2022-04-18 16:46:30,2134642688,1067321344,1178865664,955777024
2022-04-18 16:46:45,2225430528,1112715264,994725888,1230704640
2022-04-18 16:47:00,2225430528,1112715264,994725888,1230704640
2022-04-18 16:47:15,1981313024,990656512,969576448,1011736576
2022-04-18 16:47:30,1981313024,990656512,969576448,1011736576
2022-04-18 16:47:45,2202955776,1101477888,1316962304,885993472
2022-04-18 16:48:00,2202955776,1101477888,1316962304,885993472
2022-04-18 16:48:15,2105298944,1052649472,1066815488,1038483456
2022-04-18 16:48:30,2105298944,1052649472,1066815488,1038483456
2022-04-18 16:48:45,1973497856,986748928,1080729600,892768256
2022-04-18 16:49:00,1973497856,986748928,1080729600,892768256
2022-04-18 16:49:15,2102607872,1051303936,1309126656,793481216
2022-04-18 16:49:30,2102607872,1051303936,1309126656,793481216
2022-04-18 16:49:45,2229673984,1114836992,1329811456,899862528
2022-04-18 16:50:00,2229673984,1114836992,1329811456,899862528
2022-04-18 16:50:15,2275082240,1137541120,1046421504,1228660736
2022-04-18 16:50:30,2275082240,1137541120,1046421504,1228660736
2022-04-18 16:50:45,2285043712,1142521856,1127948288,1157095424
2022-04-18 16:51:00,2285043712,1142521856,1127948288,1157095424
2022-04-18 16:51:15,2095804416,1047902208,918114304,1177690112
2022-04-18 16:51:30,2095804416,1047902208,918114304,1177690112
2022-04-18 16:51:45,1853759488,926879744,940650496,913108992
2022-04-18 16:52:00,1853759488,926879744,940650496,913108992
2022-04-18 16:52:15,2078478336,1039239168,1021775872,1056702464
2022-04-18 16:52:30,2078478336,1039239168,1021775872,1056702464
2022-04-18 16:52:45,1984135168,992067584,957980672,1026154496
2022-04-18 16:53:00,1984135168,992067584,957980672,1026154496
2022-04-18 16:53:15,1931513856,965756928,821415936,1110097920
2022-04-18 16:53:30,1931513856,965756928,821415936,1110097920
2022-04-18 16:53:45,2258309120,1129154560,1338253312,920055808
2022-04-18 16:54:00,2258309120,1129154560,1338253312,920055808
2022-04-18 16:54:15,2010894336,1005447168,927178752,1083715584
2022-04-18 16:54:30,2010894336,1005447168,927178752,1083715584
2022-04-18 16:54:45,2016415744,1008207872,986726400,1029689344
2022-04-18 16:55:00,2016415744,1008207872,986726400,1029689344
2022-04-18 16:55:15,2054303744,1027151872,1047867392,1006436352
2022-04-18 16:55:30,2054303744,1027151872,1047867392,1006436352
2022-04-18 16:55:45,1945657344,972828672,925396992,1020260352
2022-04-18 16:56:00,1945657344,972828672,925396992,1020260352
2022-04-18 16:56:15,2734796800,1367398400,1206169600,1528627200
2022-04-18 16:56:30,2734796800,1367398400,1206169600,1528627200
2022-04-18 16:56:45,2102566912,1051283456,895528960,1207037952
2022-04-18 16:57:00,2102566912,1051283456,895528960,1207037952
2022-04-18 16:57:15,1713799168,856899584,815587328,898211840
2022-04-18 16:57:30,1713799168,856899584,815587328,898211840
2022-04-18 16:57:45,2512080896,1256040448,1202892800,1309188096
2022-04-18 16:58:00,2512080896,1256040448,1202892800,1309188096
2022-04-18 16:58:15,1296822272,648411136,721047552,575774720
2022-04-18 16:58:30,1296822272,648411136,721047552,575774720
2022-04-18 16:58:45,2565742592,1282871296,1539760128,1025982464
2022-04-18 16:59:00,2565742592,1282871296,1539760128,1025982464
2022-04-18 16:59:15,2130292736,1065146368,1028341760,1101950976
2022-04-18 16:59:30,2130292736,1065146368,1028341760,1101950976
2022-04-18 16:59:45,2401366016,1200683008,1280397312,1120968704
2022-04-18 17:00:00,2401366016,1200683008,1280397312,1120968704
2022-04-18 17:00:15,2051055616,1025527808,922591232,1128464384
2022-04-18 17:00:30,2051055616,1025527808,922591232,1128464384
2022-04-18 17:00:45,2194653184,1097326592,1000546304,1194106880
2022-04-18 17:01:00,2194653184,1097326592,1000546304,1194106880
2022-04-18 17:01:15,2462920704,1231460352,1237127168,1225793536
2022-04-18 17:01:30,2462920704,1231460352,1237127168,1225793536
2022-04-18 17:01:45,2326691840,1163345920,1397977088,928714752
2022-04-18 17:02:00,2326691840,1163345920,1397977088,928714752
2022-04-18 17:02:15,2006630400,1003315200,1070141440,936488960
2022-04-18 17:02:30,2006630400,1003315200,1070141440,936488960
2022-04-18 17:02:45,2419884032,1209942016,1364369408,1055514624
2022-04-18 17:03:00,2419884032,1209942016,1364369408,1055514624
2022-04-18 17:03:15,2207006720,1103503360,822013952,1384992768
2022-04-18 17:03:30,2207006720,1103503360,822013952,1384992768
2022-04-18 17:03:45,2433810432,1216905216,1125036032,1308774400
2022-04-18 17:04:00,2433810432,1216905216,1125036032,1308774400
2022-04-18 17:04:15,2395799552,1197899776,1030778880,1365020672
2022-04-18 17:04:30,2395799552,1197899776,1030778880,1365020672
2022-04-18 17:04:45,2276495360,1138247680,1179947008,1096548352
2022-04-18 17:05:00,2276495360,1138247680,1179947008,1096548352
2022-04-18 17:05:15,2399735808,1199867904,1264623616,1135112192
2022-04-18 17:05:30,2399735808,1199867904,1264623616,1135112192

