"Time","edge-server-cv-74d975f7cd-kf4xg","edge-server-cv-74d975f7cd-8snqw","edge-server-cv-74d975f7cd-zpwg8","Average"
2022-04-19 15:20:00,29.3,39.2,38.0,35.5
2022-04-19 15:20:15,44.9,35.4,41.0,40.4
2022-04-19 15:20:30,44.9,35.4,41.0,40.4
2022-04-19 15:20:45,37.5,42.3,39.6,39.8
2022-04-19 15:21:00,37.5,42.3,39.6,39.8
2022-04-19 15:21:15,33.7,50.4,38.3,40.8
2022-04-19 15:21:30,33.7,50.4,38.3,40.8
2022-04-19 15:21:45,43.6,40.2,28.7,37.5
2022-04-19 15:22:00,43.6,40.2,28.7,37.5
2022-04-19 15:22:15,41.8,31.6,41.5,38.3
2022-04-19 15:22:30,41.8,31.6,41.5,38.3
2022-04-19 15:22:45,42.3,35.9,27.8,35.3
2022-04-19 15:23:00,42.3,35.9,27.8,35.3
2022-04-19 15:23:15,37.9,38.9,32.3,36.4
2022-04-19 15:23:30,37.9,38.9,32.3,36.4
2022-04-19 15:23:45,34.0,50.6,34.0,39.6
2022-04-19 15:24:00,34.0,50.6,34.0,39.6
2022-04-19 15:24:15,48.1,40.8,33.0,40.6
2022-04-19 15:24:30,48.1,40.8,33.0,40.6
2022-04-19 15:24:45,43.2,59.2,44.1,48.8
2022-04-19 15:25:00,43.2,59.2,44.1,48.8
2022-04-19 15:25:15,35.3,55.3,38.7,43.1
2022-04-19 15:25:30,35.3,55.3,38.7,43.1
2022-04-19 15:25:45,49.9,45.5,44.7,46.7
2022-04-19 15:26:00,49.9,45.5,44.7,46.7
2022-04-19 15:26:15,21.2,35.5,40.6,32.5
2022-04-19 15:26:30,21.2,35.5,40.6,32.5
2022-04-19 15:26:45,33.0,53.2,37.2,41.1
2022-04-19 15:27:00,33.0,53.2,37.2,41.1
2022-04-19 15:27:15,30.5,35.5,37.5,34.5
2022-04-19 15:27:30,30.5,35.5,37.5,34.5
2022-04-19 15:27:45,36.5,39.7,36.4,37.5
2022-04-19 15:28:00,36.5,39.7,36.4,37.5
2022-04-19 15:28:15,47.3,48.7,46.9,47.6
2022-04-19 15:28:30,47.3,48.7,46.9,47.6
2022-04-19 15:28:45,46.2,41.8,35.8,41.3
2022-04-19 15:29:00,46.2,41.8,35.8,41.3
2022-04-19 15:29:15,44.7,41.3,47.6,44.5
2022-04-19 15:29:30,44.7,41.3,47.6,44.5
2022-04-19 15:29:45,59.7,47.3,35.5,47.5
2022-04-19 15:30:00,59.7,47.3,35.5,47.5
2022-04-19 15:30:15,46.8,39.7,33.1,39.9
2022-04-19 15:30:30,46.8,39.7,33.1,39.9
2022-04-19 15:30:45,54.5,46.2,41.6,47.4
2022-04-19 15:31:00,54.5,46.2,41.6,47.4
2022-04-19 15:31:15,63.7,48.4,28.4,46.8
2022-04-19 15:31:30,63.7,48.4,28.4,46.8
2022-04-19 15:31:45,35.5,41.2,35.8,37.5
2022-04-19 15:32:00,35.5,41.2,35.8,37.5
2022-04-19 15:32:15,34.6,57.1,45.1,45.6
2022-04-19 15:32:30,34.6,57.1,45.1,45.6
2022-04-19 15:32:45,38.4,42.0,41.4,40.6
2022-04-19 15:33:00,38.4,42.0,41.4,40.6
2022-04-19 15:33:15,38.4,45.7,47.9,44.0
2022-04-19 15:33:30,38.4,45.7,47.9,44.0
2022-04-19 15:33:45,43.1,43.3,44.7,43.7
2022-04-19 15:34:00,43.1,43.3,44.7,43.7
2022-04-19 15:34:15,49.7,44.9,32.3,42.3
2022-04-19 15:34:30,49.7,44.9,32.3,42.3
2022-04-19 15:34:45,45.6,64.9,44.8,51.8
2022-04-19 15:35:00,45.6,64.9,44.8,51.8
2022-04-19 15:35:15,40.5,33.7,55.2,43.1
2022-04-19 15:35:30,40.5,33.7,55.2,43.1
2022-04-19 15:35:45,49.2,43.3,56.5,49.7
2022-04-19 15:36:00,49.2,43.3,56.5,49.7
2022-04-19 15:36:15,37.8,22.0,27.5,29.1
2022-04-19 15:36:30,37.8,22.0,27.5,29.1
2022-04-19 15:36:45,38.6,37.2,47.8,41.2
2022-04-19 15:37:00,38.6,37.2,47.8,41.2
2022-04-19 15:37:15,34.3,40.8,40.7,38.6
2022-04-19 15:37:30,34.3,40.8,40.7,38.6
2022-04-19 15:37:45,57.9,46.7,45.6,50.1
2022-04-19 15:38:00,57.9,46.7,45.6,50.1
2022-04-19 15:38:15,35.3,55.1,35.2,41.9
2022-04-19 15:38:30,35.3,55.1,35.2,41.9
2022-04-19 15:38:45,48.8,52.8,32.7,44.8
2022-04-19 15:39:00,48.8,52.8,32.7,44.8
2022-04-19 15:39:15,46.5,51.2,38.2,45.3
2022-04-19 15:39:30,46.5,51.2,38.2,45.3
2022-04-19 15:39:45,38.5,33.7,43.1,38.5
2022-04-19 15:40:00,38.5,33.7,43.1,38.5
2022-04-19 15:40:15,47.5,48.6,32.1,42.8
2022-04-19 15:40:30,47.5,48.6,32.1,42.8
2022-04-19 15:40:45,51.4,55.3,34.2,47.0
2022-04-19 15:41:00,51.4,55.3,34.2,47.0
2022-04-19 15:41:15,56.1,36.6,50.5,47.7
2022-04-19 15:41:30,56.1,36.6,50.5,47.7
2022-04-19 15:41:45,34.9,41.9,48.9,41.9
2022-04-19 15:42:00,34.9,41.9,48.9,41.9
2022-04-19 15:42:15,39.8,46.6,42.5,43.0
2022-04-19 15:42:30,39.8,46.6,42.5,43.0
2022-04-19 15:42:45,44.1,34.2,35.1,37.8
2022-04-19 15:43:00,44.1,34.2,35.1,37.8
2022-04-19 15:43:15,52.9,24.0,49.2,42.0
2022-04-19 15:43:30,52.9,24.0,49.2,42.0
2022-04-19 15:43:45,47.4,42.2,37.4,42.4
2022-04-19 15:44:00,47.4,42.2,37.4,42.4
2022-04-19 15:44:15,29.7,41.3,30.7,33.9
2022-04-19 15:44:30,29.7,41.3,30.7,33.9
2022-04-19 15:44:45,40.0,46.4,43.1,43.2
2022-04-19 15:45:00,40.0,46.4,43.1,43.2
2022-04-19 15:45:15,50.1,38.9,45.9,45.0
2022-04-19 15:45:30,50.1,38.9,45.9,45.0
2022-04-19 15:45:45,38.6,56.4,49.3,48.1
2022-04-19 15:46:00,38.6,56.4,49.3,48.1
2022-04-19 15:46:15,34.6,38.7,49.0,40.8
2022-04-19 15:46:30,34.6,38.7,49.0,40.8
2022-04-19 15:46:45,49.3,34.2,41.3,41.6
2022-04-19 15:47:00,49.3,34.2,41.3,41.6
2022-04-19 15:47:15,37.5,37.5,51.5,42.2
2022-04-19 15:47:30,37.5,37.5,51.5,42.2
2022-04-19 15:47:45,25.5,48.6,30.3,34.8
2022-04-19 15:48:00,25.5,48.6,30.3,34.8
2022-04-19 15:48:15,40.7,36.0,37.4,38.0
2022-04-19 15:48:30,40.7,36.0,37.4,38.0
2022-04-19 15:48:45,44.7,42.4,33.5,40.2
2022-04-19 15:49:00,44.7,42.4,33.5,40.2

